Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,195,32.66,77,70,10,12.99,6,7.79,109,12,11.01,6.15,30,15.38,21.54,36.71,33.33,18.18,0.271,0.325,0.429,0.754,0.15799999999999997
CH,Changeup,OS,88,14.74,15,15,6,40.0,0,0.0,39,15,38.46,17.05,13,14.77,31.82,28.85,19.39,18.75,0.267,0.267,0.467,0.734,0.2
FC,Cutter,FB,83,13.9,27,23,5,18.52,3,11.11,47,12,25.53,14.46,9,10.84,25.3,21.21,9.09,33.33,0.217,0.333,0.348,0.681,0.13099999999999998
SL,Slider,BR,77,12.9,15,13,4,26.67,1,6.67,27,5,18.52,6.49,15,19.48,25.97,5.56,13.33,18.18,0.385,0.429,0.615,1.044,0.22999999999999998
SI,Sinker,FB,60,10.05,18,13,1,5.56,4,22.22,24,2,8.33,3.33,15,25.0,28.33,15.38,6.67,9.09,0.385,0.5,0.615,1.115,0.22999999999999998
CU,Curveball,BR,56,9.38,8,7,2,25.0,1,12.5,15,3,20.0,5.36,16,28.57,33.93,7.41,7.88,15.38,0.0,0.125,0.0,0.125,0.0
ST,Sweeper,BR,19,3.18,2,2,1,50.0,0,0.0,6,0,0.0,0.0,4,21.05,21.05,18.18,4.85,12.5,0.5,0.5,0.5,1.0,0.0
FS,Split-Finger,OS,12,2.01,3,3,2,66.67,0,0.0,5,2,40.0,16.67,2,16.67,33.33,14.29,3.64,33.33,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,3,0.5,1,1,1,100.0,0,0.0,1,1,100.0,33.33,1,33.33,66.67,33.33,0.61,100.0,0.0,0.0,0.0,0.0,0.0
FA,Other,,2,0.34,1,1,0,0.0,0,0.0,2,1,50.0,50.0,0,0.0,50.0,100.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,2,0.34,1,1,1,100.0,0,0.0,1,1,100.0,50.0,1,50.0,100.0,100.0,0.61,100.0,0.0,0.0,0.0,0.0,0.0
