mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
656941,249,210,1020,0.3,67,26.91,36,14.46,0.407,0.49,0.897,0.19,390,116,29.74,11.37,210,20.59,31.96,18.8,23.1
660271,244,221,951,0.29,58,23.77,20,8.2,0.352,0.525,0.877,0.23500000000000004,428,117,27.34,12.3,160,16.82,29.13,25.52,21.32
665742,226,180,928,0.278,27,11.95,42,18.58,0.416,0.55,0.966,0.272,358,63,17.6,6.79,170,18.32,25.11,19.04,10.89
646240,224,204,905,0.24,71,31.7,17,7.59,0.304,0.382,0.6859999999999999,0.14200000000000002,481,167,34.72,18.45,117,12.93,31.38,33.78,22.54
680776,230,208,898,0.255,56,24.35,17,7.39,0.319,0.346,0.665,0.09099999999999997,406,110,27.09,12.25,171,19.04,31.29,28.83,22.86
683002,217,183,897,0.257,54,24.88,28,12.9,0.359,0.47,0.829,0.21299999999999997,364,95,26.1,10.59,182,20.29,30.88,20.37,19.78
682829,218,192,878,0.224,69,31.65,19,8.72,0.307,0.354,0.661,0.12999999999999998,389,139,35.73,15.83,153,17.43,33.26,29.26,28.16
547180,226,196,875,0.301,53,23.45,28,12.39,0.387,0.52,0.907,0.21900000000000003,443,127,28.67,14.51,98,11.2,25.71,31.71,21.37
665862,210,189,856,0.249,52,24.76,17,8.1,0.319,0.386,0.7050000000000001,0.137,398,114,28.64,13.32,137,16.0,29.32,29.53,19.26
518692,221,190,848,0.247,34,15.38,20,9.05,0.327,0.426,0.753,0.179,441,87,19.73,10.26,108,12.74,23.0,31.29,12.83
641857,197,176,836,0.261,59,29.95,18,9.14,0.337,0.403,0.74,0.14200000000000002,384,120,31.25,14.35,139,16.63,30.98,28.43,22.1
553993,194,168,811,0.256,61,31.44,22,11.34,0.342,0.452,0.794,0.196,350,113,32.29,13.93,152,18.74,32.68,24.21,24.5
691026,195,178,808,0.253,39,20.0,16,8.21,0.318,0.5,0.8180000000000001,0.247,371,74,19.95,9.16,150,18.56,27.72,30.2,16.6
683011,191,175,796,0.246,40,20.94,15,7.85,0.305,0.354,0.659,0.10799999999999998,377,78,20.69,9.8,142,17.84,27.64,27.51,16.6
592450,184,132,795,0.311,46,25.0,50,27.17,0.505,0.735,1.24,0.424,299,98,32.78,12.33,104,13.08,25.41,19.47,22.33
682998,209,183,791,0.219,48,22.97,16,7.66,0.296,0.41,0.706,0.19099999999999998,326,72,22.09,9.1,168,21.24,30.34,29.13,22.64
668227,182,151,790,0.232,42,23.08,26,14.29,0.359,0.444,0.8029999999999999,0.212,308,83,26.95,10.51,161,20.38,30.89,20.93,17.43
678662,209,193,771,0.259,62,29.67,12,5.74,0.303,0.456,0.759,0.197,470,166,35.32,21.53,69,8.95,30.48,39.38,26.72
657077,192,167,760,0.228,31,16.15,20,10.42,0.311,0.281,0.5920000000000001,0.05300000000000002,307,53,17.26,6.97,163,21.45,28.42,21.31,13.57
