mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
670623,483,403,2213,0.218,80,16.56,61,12.63,0.336,0.36,0.696,0.142,992,176,17.74,7.95,388,17.53,25.49,26.27,10.23
621566,498,429,2212,0.24,124,24.9,60,12.05,0.337,0.434,0.771,0.194,1081,284,26.27,12.84,283,12.79,25.63,28.4,16.21
542303,526,465,2166,0.297,123,23.38,53,10.08,0.37,0.561,0.931,0.26400000000000007,1010,313,30.99,14.45,294,13.57,28.02,26.68,18.78
592450,520,427,2163,0.326,125,24.04,83,15.96,0.441,0.691,1.132,0.36499999999999994,914,274,29.98,12.67,318,14.7,27.37,18.47,19.41
621493,535,468,2109,0.226,137,25.61,54,10.09,0.31,0.408,0.718,0.18199999999999997,910,239,26.26,11.33,404,19.16,30.49,20.94,21.32
677951,566,503,2108,0.336,88,15.55,50,8.83,0.399,0.612,1.0110000000000001,0.27599999999999997,1049,241,22.97,11.43,284,13.47,24.91,30.23,15.69
665489,558,499,2103,0.327,81,14.52,50,8.96,0.391,0.545,0.936,0.21800000000000003,1020,224,21.96,10.65,319,15.17,25.82,28.29,13.24
596019,520,462,2101,0.277,101,19.42,45,8.65,0.351,0.485,0.836,0.20799999999999996,1026,252,24.56,11.99,308,14.66,26.65,25.96,16.08
607043,496,418,2097,0.215,117,23.59,67,13.51,0.329,0.4,0.7290000000000001,0.18500000000000003,931,206,22.13,9.82,328,15.64,25.46,22.39,17.78
608070,503,456,2093,0.254,64,12.72,42,8.35,0.317,0.48,0.7969999999999999,0.22599999999999998,1007,147,14.6,7.02,300,14.33,21.36,30.8,10.26
664023,498,422,2089,0.244,128,25.7,68,13.65,0.353,0.45,0.8029999999999999,0.20600000000000002,919,242,26.33,11.58,337,16.13,27.72,21.38,19.54
650402,497,440,2076,0.255,100,20.12,45,9.05,0.323,0.352,0.675,0.09699999999999998,951,217,22.82,10.45,343,16.52,26.97,21.26,14.66
624413,517,452,2056,0.241,132,25.53,51,9.86,0.328,0.456,0.784,0.21500000000000002,870,230,26.44,11.19,407,19.8,30.98,26.33,21.65
665742,488,396,2049,0.293,92,18.85,87,17.83,0.421,0.578,0.9989999999999999,0.285,743,174,23.42,8.49,390,19.03,27.53,17.92,17.33
502671,488,453,2030,0.23,145,29.71,31,6.35,0.28,0.395,0.675,0.165,998,299,29.96,14.73,348,17.14,31.87,31.3,20.26
630105,478,417,2024,0.252,85,17.78,47,9.83,0.338,0.434,0.772,0.182,898,152,16.93,7.51,365,18.03,25.54,22.93,13.67
668709,519,456,2020,0.25,93,17.92,59,11.37,0.338,0.434,0.772,0.184,903,227,25.14,11.24,326,16.14,27.38,23.98,17.1
623993,485,435,2020,0.239,86,17.73,42,8.66,0.309,0.513,0.8220000000000001,0.274,1032,185,17.93,9.16,289,14.31,23.47,35.96,12.59
642715,511,458,2019,0.271,130,25.44,48,9.39,0.34,0.511,0.851,0.24,1013,306,30.21,15.16,286,14.17,29.32,29.41,20.41
595777,488,409,2018,0.274,82,16.8,55,11.27,0.379,0.447,0.8260000000000001,0.173,926,167,18.03,8.28,305,15.11,23.39,21.04,12.7
683002,502,447,2010,0.291,105,20.92,50,9.96,0.367,0.553,0.92,0.26200000000000007,917,217,23.66,10.8,302,15.02,25.82,24.31,19.06
683011,500,462,2007,0.242,116,23.2,27,5.4,0.288,0.368,0.6559999999999999,0.126,967,226,23.37,11.26,379,18.88,30.14,30.04,18.95
656305,482,433,1999,0.245,120,24.9,42,8.71,0.32,0.462,0.782,0.21700000000000003,888,220,24.77,11.01,399,19.96,30.97,25.18,18.21
668227,468,398,1986,0.214,127,27.14,47,10.04,0.321,0.367,0.688,0.153,828,254,30.68,12.79,402,20.24,33.03,25.68,18.89
661388,510,451,1971,0.271,99,19.41,55,10.78,0.353,0.459,0.812,0.188,935,257,27.49,13.04,270,13.7,26.74,24.95,16.92
543760,544,496,1969,0.228,80,14.71,44,8.09,0.294,0.381,0.675,0.153,1009,212,21.01,10.77,259,13.15,23.92,26.2,14.34
668930,491,441,1968,0.259,79,16.09,42,8.55,0.323,0.363,0.6859999999999999,0.10399999999999998,932,119,12.77,6.05,362,18.39,24.44,28.51,13.28
680776,507,463,1954,0.298,104,20.51,37,7.3,0.352,0.557,0.909,0.25900000000000006,967,230,23.78,11.77,288,14.74,26.51,27.84,18.41
683737,468,407,1953,0.246,137,29.27,55,11.75,0.336,0.452,0.788,0.20600000000000002,879,258,29.35,13.21,302,15.46,28.67,23.74,22.8
668715,486,428,1941,0.229,104,21.4,49,10.08,0.316,0.418,0.734,0.18899999999999997,864,206,23.84,10.61,356,18.34,28.95,25.39,17.63
663697,462,392,1935,0.237,90,19.48,54,11.69,0.343,0.383,0.726,0.14600000000000002,757,150,19.82,7.75,402,20.78,28.53,18.54,15.99
606192,471,426,1919,0.268,138,29.3,37,7.86,0.334,0.481,0.815,0.21299999999999997,987,342,34.65,17.82,264,13.76,31.58,29.21,21.36
650490,483,436,1913,0.261,83,17.18,40,8.28,0.328,0.378,0.706,0.11699999999999999,831,120,14.44,6.27,357,18.66,24.93,23.13,15.4
621020,471,424,1907,0.222,119,25.27,42,8.92,0.292,0.361,0.653,0.13899999999999998,930,271,29.14,14.21,285,14.94,29.16,25.0,19.73
673548,447,395,1906,0.286,132,29.53,43,9.62,0.36,0.494,0.854,0.20800000000000002,753,199,26.43,10.44,397,20.83,31.27,21.03,21.46
641857,450,391,1905,0.233,126,28.0,51,11.33,0.32,0.394,0.714,0.161,894,264,29.53,13.86,305,16.01,29.87,25.59,19.56
571448,481,433,1900,0.284,75,15.59,38,7.9,0.344,0.4,0.744,0.11600000000000005,864,152,17.59,8.0,358,18.84,26.84,29.25,13.44
666969,475,437,1898,0.222,127,26.74,32,6.74,0.28,0.389,0.669,0.167,972,349,35.91,18.39,241,12.7,31.09,33.49,22.4
660271,476,405,1896,0.321,104,21.85,61,12.82,0.412,0.721,1.133,0.39999999999999997,898,282,31.4,14.87,245,12.92,27.8,27.09,20.93
666624,484,427,1894,0.208,128,26.45,47,9.71,0.296,0.358,0.6539999999999999,0.15,878,299,34.05,15.79,291,15.36,31.15,25.95,22.18
663728,457,393,1888,0.234,135,29.54,58,12.69,0.335,0.433,0.768,0.19899999999999998,950,292,30.74,15.47,230,12.18,27.65,31.39,21.08
650489,473,405,1887,0.249,108,22.83,42,8.88,0.346,0.385,0.731,0.136,949,265,27.92,14.04,268,14.2,28.25,29.52,17.97
682829,479,426,1884,0.275,149,31.11,50,10.44,0.353,0.523,0.876,0.248,803,259,32.25,13.75,361,19.16,32.91,25.79,27.61
668804,489,434,1882,0.279,109,22.29,44,9.0,0.356,0.465,0.821,0.186,925,269,29.08,14.29,236,12.54,26.83,28.3,19.36
667670,477,425,1875,0.294,144,30.19,44,9.22,0.366,0.555,0.921,0.26100000000000007,938,333,35.5,17.76,241,12.85,30.61,31.41,25.09
687263,487,435,1868,0.218,118,24.23,31,6.37,0.293,0.405,0.698,0.18700000000000003,905,252,27.85,13.49,307,16.43,29.93,30.12,20.97
668939,457,407,1865,0.219,79,17.29,42,9.19,0.289,0.342,0.631,0.12300000000000003,841,150,17.84,8.04,372,19.95,27.99,30.85,13.98
592518,490,457,1862,0.282,92,18.78,27,5.51,0.321,0.473,0.794,0.191,982,229,23.32,12.3,259,13.91,26.21,30.89,16.31
682998,475,406,1858,0.236,82,17.26,57,12.0,0.333,0.436,0.769,0.2,770,151,19.61,8.13,345,18.57,26.7,23.26,17.19
514888,513,474,1849,0.27,91,17.74,35,6.82,0.324,0.407,0.731,0.13699999999999996,938,208,22.17,11.25,284,15.36,26.61,37.26,17.81
656941,444,363,1846,0.218,130,29.28,70,15.77,0.342,0.482,0.8240000000000001,0.264,749,249,33.24,13.49,314,17.01,30.5,22.04,23.93
665833,445,398,1834,0.271,134,30.11,43,9.66,0.344,0.46,0.804,0.189,819,284,34.68,15.49,327,17.83,33.32,30.97,23.5
663538,503,454,1814,0.258,52,10.34,36,7.16,0.324,0.359,0.683,0.10099999999999998,856,101,11.8,5.57,364,20.07,25.63,30.88,10.46
681082,442,394,1803,0.251,67,15.16,38,8.6,0.314,0.378,0.692,0.127,806,134,16.63,7.43,371,20.58,28.01,29.77,12.23
