Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,145,30.72,43,37,3,6.98,5,11.63,79,16,20.25,11.03,16,11.03,22.07,38.27,33.57,6.38,0.378,0.452,0.459,0.911,0.08100000000000002
CH,Changeup,OS,90,19.07,21,21,5,23.81,0,0.0,42,14,33.33,15.56,8,8.89,24.44,30.0,22.14,16.13,0.238,0.238,0.286,0.524,0.04799999999999999
SI,Sinker,FB,60,12.71,19,18,4,21.05,1,5.26,34,4,11.76,6.67,9,15.0,21.67,25.93,11.43,18.75,0.278,0.316,0.333,0.649,0.05499999999999999
FC,Cutter,FB,50,10.59,11,10,1,9.09,1,9.09,26,1,3.85,2.0,9,18.0,20.0,29.17,5.71,12.5,0.5,0.545,0.8,1.3450000000000002,0.30000000000000004
CU,Curveball,BR,43,9.11,8,7,2,25.0,1,12.5,15,7,46.67,16.28,8,18.6,34.88,20.0,7.86,18.18,0.143,0.25,0.143,0.393,0.0
SL,Slider,BR,42,8.9,6,6,3,50.0,0,0.0,21,9,42.86,21.43,8,19.05,40.48,38.89,6.43,33.33,0.0,0.0,0.0,0.0,0.0
ST,Sweeper,BR,22,4.66,8,5,1,12.5,1,12.5,10,4,40.0,18.18,4,18.18,36.36,30.77,6.43,11.11,0.2,0.5,0.4,0.9,0.2
FS,Split-Finger,OS,7,1.48,1,1,0,0.0,0,0.0,5,1,20.0,14.29,1,14.29,28.57,80.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,6,1.27,3,3,0,0.0,0,0.0,3,0,0.0,0.0,1,16.67,16.67,0.0,2.86,0.0,0.333,0.333,0.333,0.666,0.0
SV,Slurve,BR,4,0.85,1,1,0,0.0,0,0.0,1,0,0.0,0.0,2,50.0,50.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0
,,,3,0.64,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
