Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,342,37.62,80,74,13,16.25,6,7.5,195,44,22.56,12.87,48,14.04,26.9,31.21,37.92,11.5,0.297,0.35,0.446,0.796,0.149,444482
CH,Changeup,OS,112,12.32,39,38,6,15.38,0,0.0,60,20,33.33,17.86,3,2.68,20.54,29.41,13.09,12.82,0.289,0.289,0.579,0.8679999999999999,0.29,444482
SI,Sinker,FB,100,11.0,29,28,3,10.34,1,3.45,42,5,11.9,5.0,27,27.0,32.0,33.33,7.05,14.29,0.25,0.276,0.464,0.74,0.214,444482
SL,Slider,BR,96,10.56,22,20,9,40.91,2,9.09,52,24,46.15,25.0,11,11.46,36.46,44.83,12.42,24.32,0.2,0.273,0.2,0.473,0.0,444482
FC,Cutter,FB,90,9.9,15,12,1,6.67,3,20.0,44,6,13.64,6.67,13,14.44,21.11,34.62,7.72,4.35,0.333,0.467,0.583,1.05,0.2499999999999999,444482
CU,Curveball,BR,66,7.26,16,14,5,31.25,2,12.5,27,16,59.26,24.24,13,19.7,43.94,32.5,7.38,22.73,0.357,0.438,0.429,0.867,0.072,444482
ST,Sweeper,BR,42,4.62,13,12,1,7.69,1,7.69,20,4,20.0,9.52,7,16.67,26.19,30.43,5.03,6.67,0.25,0.308,0.417,0.725,0.1669999999999999,444482
FS,Split-Finger,OS,37,4.07,13,11,6,46.15,1,7.69,22,13,59.09,35.14,0,0.0,35.14,45.83,5.37,37.5,0.182,0.25,0.182,0.432,0.0,444482
KC,Knuckle Curve,BR,20,2.2,8,6,2,25.0,2,25.0,10,4,40.0,20.0,3,15.0,35.0,30.0,4.03,16.67,0.167,0.375,0.167,0.542,0.0,444482
EP,Eephus,,2,0.22,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,444482
SV,Slurve,BR,2,0.22,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,444482
FF,4-Seam Fastball,FB,604,39.76,138,120,25,18.12,13,9.42,267,47,17.6,7.78,124,20.53,28.31,22.73,35.34,15.24,0.242,0.324,0.475,0.7989999999999999,0.2329999999999999,453568
CH,Changeup,OS,186,12.24,64,60,9,14.06,4,6.25,103,25,24.27,13.44,17,9.14,22.58,37.38,13.36,14.52,0.233,0.281,0.3,0.581,0.0669999999999999,453568
FC,Cutter,FB,162,10.66,38,35,3,7.89,3,7.89,80,16,20.0,9.88,24,14.81,24.69,30.68,6.25,10.34,0.457,0.5,0.686,1.186,0.229,453568
SL,Slider,BR,150,9.87,36,32,12,33.33,4,11.11,86,22,25.58,14.67,13,8.67,23.33,39.24,13.15,19.67,0.219,0.306,0.344,0.6499999999999999,0.1249999999999999,453568
SI,Sinker,FB,127,8.36,37,30,6,16.22,5,13.51,55,6,10.91,4.72,31,24.41,29.13,15.69,8.62,15.0,0.333,0.459,0.5,0.959,0.1669999999999999,453568
CU,Curveball,BR,81,5.33,24,22,8,33.33,2,8.33,42,13,30.95,16.05,10,12.35,28.4,44.44,7.54,22.86,0.273,0.333,0.409,0.742,0.1359999999999999,453568
ST,Sweeper,BR,69,4.54,17,16,3,17.65,1,5.88,31,5,16.13,7.25,10,14.49,21.74,20.59,5.39,12.0,0.125,0.176,0.375,0.5509999999999999,0.25,453568
FS,Split-Finger,OS,68,4.48,17,16,1,5.88,1,5.88,34,8,23.53,11.76,4,5.88,17.65,36.96,4.53,4.76,0.125,0.176,0.188,0.364,0.063,453568
KC,Knuckle Curve,BR,46,3.03,12,12,5,41.67,0,0.0,21,9,42.86,19.57,9,19.57,39.13,50.0,4.53,23.81,0.167,0.167,0.167,0.334,0.0,453568
,,,11,0.72,2,0,0,0.0,2,100.0,1,0,0.0,0.0,0,0.0,0.0,,0.22,0.0,,1.0,,,,453568
KN,Knuckleball,,8,0.53,2,2,1,50.0,0,0.0,2,1,50.0,12.5,3,37.5,50.0,0.0,0.65,33.33,0.0,0.0,0.0,0.0,0.0,453568
SV,Slurve,BR,5,0.33,0,0,0,,0,,2,1,50.0,20.0,0,0.0,20.0,0.0,0.22,0.0,,,,,,453568
SC,Screwball,,2,0.13,0,0,0,,0,,2,1,50.0,50.0,0,0.0,50.0,100.0,0.22,0.0,,,,,,453568
FF,4-Seam Fastball,FB,98,26.34,35,31,7,20.0,3,8.57,53,12,22.64,12.24,19,19.39,31.63,39.53,26.79,20.0,0.161,0.257,0.226,0.483,0.065,455117
SL,Slider,BR,69,18.55,20,18,8,40.0,1,5.0,40,23,57.5,33.33,8,11.59,44.93,39.39,16.96,42.11,0.111,0.158,0.167,0.325,0.056,455117
SI,Sinker,FB,68,18.28,17,16,2,11.76,1,5.88,37,6,16.22,8.82,15,22.06,30.88,27.27,13.39,13.33,0.25,0.294,0.438,0.732,0.188,455117
FC,Cutter,FB,45,12.1,9,9,4,44.44,0,0.0,22,9,40.91,20.0,7,15.56,35.56,30.43,10.71,33.33,0.111,0.111,0.111,0.222,0.0,455117
ST,Sweeper,BR,37,9.95,9,9,7,77.78,0,0.0,19,15,78.95,40.54,6,16.22,56.76,45.45,13.39,46.67,0.0,0.0,0.0,0.0,0.0,455117
CU,Curveball,BR,36,9.68,6,6,3,50.0,0,0.0,14,4,28.57,11.11,9,25.0,36.11,25.0,9.82,27.27,0.167,0.167,0.667,0.8340000000000001,0.5,455117
CH,Changeup,OS,13,3.49,3,2,1,33.33,1,33.33,4,3,75.0,23.08,0,0.0,23.08,10.0,6.25,14.29,0.5,0.667,2.0,2.667,1.5,455117
KC,Knuckle Curve,BR,2,0.54,1,1,0,0.0,0,0.0,1,0,0.0,0.0,1,50.0,50.0,,0.0,,0.0,0.0,0.0,0.0,0.0,455117
FS,Split-Finger,OS,2,0.54,2,2,2,100.0,0,0.0,1,1,100.0,50.0,1,50.0,100.0,,1.79,100.0,0.0,0.0,0.0,0.0,0.0,455117
SV,Slurve,BR,1,0.27,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,455117
,,,1,0.27,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.89,0.0,,,,,,455117
FF,4-Seam Fastball,FB,237,30.66,50,44,10,20.0,5,10.0,112,26,23.21,10.97,55,23.21,34.18,26.53,30.34,12.35,0.318,0.38,0.591,0.971,0.2729999999999999,456781
SL,Slider,BR,180,23.29,49,46,11,22.45,1,2.04,90,25,27.78,13.89,26,14.44,28.33,30.21,25.09,16.42,0.239,0.286,0.326,0.612,0.087,456781
SI,Sinker,FB,140,18.11,38,35,6,15.79,2,5.26,55,6,10.91,4.29,48,34.29,38.57,21.57,13.86,16.22,0.4,0.447,0.486,0.933,0.0859999999999999,456781
ST,Sweeper,BR,72,9.31,16,16,8,50.0,0,0.0,37,11,29.73,15.28,9,12.5,27.78,36.59,10.49,28.57,0.125,0.125,0.125,0.25,0.0,456781
FC,Cutter,FB,55,7.12,11,10,1,9.09,1,9.09,28,8,28.57,14.55,11,20.0,34.55,38.46,4.12,9.09,0.2,0.273,0.2,0.473,0.0,456781
CU,Curveball,BR,34,4.4,9,9,3,33.33,0,0.0,17,7,41.18,20.59,4,11.76,32.35,23.53,5.99,18.75,0.111,0.111,0.222,0.333,0.111,456781
FS,Split-Finger,OS,18,2.33,6,5,1,16.67,1,16.67,11,3,27.27,16.67,1,5.56,22.22,40.0,4.12,9.09,0.4,0.5,0.6,1.1,0.1999999999999999,456781
KC,Knuckle Curve,BR,16,2.07,6,6,3,50.0,0,0.0,10,4,40.0,25.0,0,0.0,25.0,53.85,2.62,42.86,0.333,0.333,0.5,0.833,0.1669999999999999,456781
CH,Changeup,OS,10,1.29,3,3,2,66.67,0,0.0,7,2,28.57,20.0,1,10.0,30.0,66.67,2.62,28.57,0.0,0.0,0.0,0.0,0.0,456781
FA,Other,,4,0.52,2,2,0,0.0,0,0.0,3,0,0.0,0.0,1,25.0,25.0,100.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,456781
SV,Slurve,BR,3,0.39,0,0,0,,0,,0,0,,0.0,2,66.67,66.67,0.0,0.0,,,,,,,456781
EP,Eephus,,2,0.26,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,100.0,0.0,,1.0,1.0,1.0,2.0,0.0,456781
SC,Screwball,,2,0.26,0,0,0,,0,,1,1,100.0,50.0,0,0.0,50.0,50.0,0.37,0.0,,,,,,456781
FF,4-Seam Fastball,FB,416,26.13,106,96,33,31.13,10,9.43,201,66,32.84,15.87,76,18.27,34.13,20.45,26.29,25.0,0.26,0.33,0.406,0.736,0.146,457705
SI,Sinker,FB,370,23.24,100,88,10,10.0,10,10.0,156,21,13.46,5.68,87,23.51,29.19,13.64,17.73,11.24,0.261,0.34,0.477,0.817,0.2159999999999999,457705
SL,Slider,BR,288,18.09,51,45,15,29.41,6,11.76,99,33,33.33,11.46,56,19.44,30.9,14.63,18.53,16.13,0.222,0.314,0.444,0.758,0.222,457705
ST,Sweeper,BR,166,10.43,34,28,12,35.29,5,14.71,59,24,40.68,14.46,26,15.66,30.12,15.46,13.35,17.91,0.214,0.324,0.321,0.645,0.107,457705
FC,Cutter,FB,120,7.54,24,22,4,16.67,2,8.33,40,11,27.5,9.17,34,28.33,37.5,11.11,4.58,17.39,0.364,0.417,0.818,1.235,0.4539999999999999,457705
CU,Curveball,BR,80,5.03,19,18,5,26.32,0,0.0,41,10,24.39,12.5,11,13.75,26.25,30.0,7.17,13.89,0.167,0.211,0.222,0.433,0.0549999999999999,457705
CH,Changeup,OS,77,4.84,24,21,7,29.17,3,12.5,41,10,24.39,12.99,12,15.58,28.57,32.5,6.37,21.88,0.238,0.333,0.333,0.666,0.095,457705
FS,Split-Finger,OS,35,2.2,8,5,4,50.0,2,25.0,10,8,80.0,22.86,2,5.71,28.57,10.71,3.39,23.53,0.0,0.375,0.0,0.375,0.0,457705
KC,Knuckle Curve,BR,28,1.76,5,5,2,40.0,0,0.0,11,4,36.36,14.29,3,10.71,25.0,21.05,2.19,18.18,0.0,0.0,0.0,0.0,0.0,457705
SV,Slurve,BR,9,0.57,1,0,0,0.0,1,100.0,2,0,0.0,0.0,2,22.22,22.22,0.0,0.2,0.0,,1.0,,,,457705
,,,3,0.19,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.2,0.0,,1.0,,,,457705
FF,4-Seam Fastball,FB,621,36.72,122,96,30,24.59,24,19.67,271,55,20.3,8.86,113,18.2,27.05,20.34,35.22,15.03,0.229,0.385,0.344,0.729,0.1149999999999999,457759
SI,Sinker,FB,381,22.53,104,88,7,6.73,8,7.69,165,12,7.27,3.15,101,26.51,29.66,19.29,15.69,8.14,0.307,0.394,0.364,0.758,0.0569999999999999,457759
SL,Slider,BR,250,14.78,58,53,16,27.59,4,6.9,112,34,30.36,13.6,30,12.0,25.6,26.28,17.88,16.33,0.283,0.345,0.528,0.873,0.245,457759
FC,Cutter,FB,137,8.1,34,33,4,11.76,1,2.94,68,10,14.71,7.3,20,14.6,21.9,34.78,6.75,10.81,0.303,0.324,0.394,0.718,0.091,457759
ST,Sweeper,BR,131,7.75,31,29,4,12.9,2,6.45,57,9,15.79,6.87,13,9.92,16.79,18.18,10.04,7.27,0.207,0.258,0.345,0.603,0.1379999999999999,457759
CH,Changeup,OS,63,3.73,27,24,4,14.81,1,3.7,46,8,17.39,12.7,1,1.59,14.29,55.56,6.2,11.76,0.208,0.296,0.292,0.588,0.0839999999999999,457759
CU,Curveball,BR,47,2.78,6,5,1,16.67,0,0.0,16,1,6.25,2.13,6,12.77,14.89,21.88,3.47,5.26,0.4,0.333,0.4,0.7330000000000001,0.0,457759
FS,Split-Finger,OS,28,1.66,6,4,1,16.67,2,33.33,14,1,7.14,3.57,4,14.29,17.86,33.33,2.92,6.25,0.25,0.5,0.5,1.0,0.25,457759
KC,Knuckle Curve,BR,24,1.42,9,8,2,22.22,0,0.0,12,4,33.33,16.67,3,12.5,29.17,35.71,1.64,22.22,0.125,0.111,0.125,0.236,0.0,457759
SV,Slurve,BR,6,0.35,1,1,1,100.0,0,0.0,2,2,100.0,33.33,1,16.67,50.0,40.0,0.18,100.0,0.0,0.0,0.0,0.0,0.0,457759
,,,2,0.12,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,457759
KN,Knuckleball,,1,0.06,0,0,0,,0,,0,0,,0.0,1,100.0,100.0,,0.0,,,,,,,457759
FF,4-Seam Fastball,FB,534,29.92,145,120,19,13.1,22,15.17,243,45,18.52,8.43,80,14.98,23.41,17.14,28.57,13.19,0.217,0.345,0.375,0.72,0.158,467793
SL,Slider,BR,277,15.52,63,51,18,28.57,10,15.87,119,40,33.61,14.44,53,19.13,33.57,30.34,17.06,20.93,0.176,0.317,0.255,0.5720000000000001,0.079,467793
CH,Changeup,OS,233,13.05,55,51,6,10.91,3,5.45,95,25,26.32,10.73,34,14.59,25.32,27.33,11.31,10.53,0.275,0.327,0.431,0.758,0.1559999999999999,467793
FC,Cutter,FB,186,10.42,43,38,7,16.28,4,9.3,85,22,25.88,11.83,26,13.98,25.81,17.78,8.73,15.91,0.237,0.31,0.395,0.7050000000000001,0.158,467793
SI,Sinker,FB,175,9.8,45,39,4,8.89,6,13.33,65,9,13.85,5.14,40,22.86,28.0,21.35,6.94,11.43,0.179,0.289,0.282,0.571,0.1029999999999999,467793
FS,Split-Finger,OS,132,7.39,31,30,6,19.35,1,3.23,70,14,20.0,10.61,14,10.61,21.21,40.51,10.12,11.76,0.233,0.258,0.3,0.558,0.0669999999999999,467793
CU,Curveball,BR,115,6.44,21,20,5,23.81,1,4.76,47,11,23.4,9.57,22,19.13,28.7,23.81,9.33,10.64,0.25,0.286,0.45,0.736,0.2,467793
ST,Sweeper,BR,87,4.87,21,20,6,28.57,1,4.76,42,14,33.33,16.09,14,16.09,32.18,32.61,5.56,21.43,0.2,0.238,0.45,0.688,0.25,467793
KC,Knuckle Curve,BR,30,1.68,5,4,0,0.0,0,0.0,9,1,11.11,3.33,7,23.33,26.67,12.5,1.39,0.0,0.25,0.4,0.25,0.65,0.0,467793
KN,Knuckleball,,6,0.34,0,0,0,,0,,3,0,0.0,0.0,1,16.67,16.67,33.33,0.79,0.0,,,,,,467793
SV,Slurve,BR,6,0.34,2,1,0,0.0,1,50.0,1,0,0.0,0.0,2,33.33,33.33,0.0,0.2,0.0,0.0,0.5,0.0,0.5,0.0,467793
