year,date,gid
2024,2024-03-28,747060
2024,2024-03-28,746737
2024,2024-03-28,745445
2024,2024-03-28,746165
2024,2024-03-28,745116
2024,2024-03-28,746335
2024,2024-03-28,746821
2024,2024-03-28,746089
2024,2024-03-28,746418
2024,2024-03-28,745039
2024,2024-03-29,745687
2024,2024-03-29,747224
2024,2024-03-29,745283
2024,2024-03-29,745848
2024,2024-03-29,745604
2024,2024-03-29,745117
2024,2024-03-29,746091
2024,2024-03-30,746412
2024,2024-03-30,747223
2024,2024-03-30,745682
2024,2024-03-30,745276
2024,2024-03-30,745435
2024,2024-03-30,746167
2024,2024-03-30,745850
2024,2024-03-30,746818
2024,2024-03-30,747063
2024,2024-03-30,745599
2024,2024-03-30,745684
2024,2024-03-30,746736
2024,2024-03-30,745119
2024,2024-03-30,746333
2024,2024-03-30,746087
2024,2024-03-30,745037
2024,2024-03-30,745436
2024,2024-03-30,746410
2024,2024-03-31,747221
2024,2024-03-31,746168
2024,2024-03-31,745278
2024,2024-03-31,747062
2024,2024-03-31,745602
2024,2024-03-31,746739
2024,2024-03-31,745115
2024,2024-03-31,746090
2024,2024-03-31,745845
2024,2024-03-31,746332
2024,2024-03-31,746815
2024,2024-03-31,746413
2024,2024-03-31,745035
2024,2024-03-31,745683
2024,2024-03-31,747222
2024,2024-03-31,745279
2024,2024-03-31,745438
2024,2024-03-31,746166
2024,2024-04-01,746817
2024,2024-04-01,746899
2024,2024-04-01,744875
2024,2024-04-01,747058
2024,2024-04-01,745600
2024,2024-04-01,746085
2024,2024-04-01,745109
2024,2024-04-01,745842
2024,2024-04-02,746409
2024,2024-04-02,745675
2024,2024-04-02,745277
2024,2024-04-02,745437
2024,2024-04-02,747218
2024,2024-04-02,746170
2024,2024-04-02,746009
2024,2024-04-02,747057
2024,2024-04-02,745598
2024,2024-04-02,746086
2024,2024-04-02,745111
2024,2024-04-02,746898
2024,2024-04-02,746814
2024,2024-04-03,746411
2024,2024-04-03,745680
2024,2024-04-03,745273
2024,2024-04-03,745439
2024,2024-04-03,747220
2024,2024-04-03,746169
2024,2024-04-04,745844
2024,2024-04-03,747059
2024,2024-04-03,745114
2024,2024-04-03,746083
2024,2024-04-03,746008
2024,2024-04-03,745678
2024,2024-04-03,747219
2024,2024-04-03,745603
2024,2024-04-03,745275
2024,2024-04-03,745440
2024,2024-04-03,744869
2024,2024-04-03,746900
2024,2024-04-04,746407
2024,2024-04-04,746163
2024,2024-06-27,746816
2024,2024-04-04,745843
2024,2024-04-04,744870
2024,2024-04-04,745928
2024,2024-04-04,745200
2024,2024-04-04,746327
2024,2024-04-05,745764
2024,2024-04-05,746497
2024,2024-04-05,746897
2024,2024-04-05,746576
2024,2024-04-05,745524
2024,2024-04-05,745361
2024,2024-04-05,746733
2024,2024-04-05,744874
2024,2024-04-05,747143
2024,2024-04-05,746328
2024,2024-04-06,745033
2024,2024-04-06,746007
2024,2024-04-06,746249
2024,2024-04-06,746498
2024,2024-04-06,745926
2024,2024-04-06,745197
2024,2024-04-06,746896
2024,2024-04-06,745522
2024,2024-04-06,744873
2024,2024-04-06,746731
2024,2024-04-06,745031
2024,2024-04-06,745766
2024,2024-04-06,746329
2024,2024-04-06,746006
2024,2024-04-06,747140
