year,date,gid,home,away,hPitcher,aPitcher,hLineup,aLineup
2025,2025-03-27,778557,NYY,MIL,607074,642547,"[669224, 592450, 641355, 502671, 665862, 691176, 683011, 700250, 665828]","[694192, 592885, 661388, 656555, 686217, 687401, 669003, 681962, 668930]"
2025,2025-03-27,778556,TOR,BAL,621244,621107,"[666182, 665489, 623993, 665926, 672386, 543807, 695238, 676391, 702176]","[681297, 668939, 676059, 656811, 641933, 663624, 656775, 602104, 702616]"
2025,2025-03-27,778553,TEX,BOS,543135,676979,"[543760, 608369, 694671, 666969, 669394, 673962, 607680, 543309, 669701]","[680776, 646240, 608324, 671213, 596115, 692225, 677800, 657136, 678882]"
2025,2025-03-27,778555,WSH,PHI,669022,554430,"[682928, 695578, 671277, 605137, 663993, 657557, 660688, 686611, 696285]","[607208, 547180, 664761, 656941, 592663, 596146, 592206, 681082, 669016]"
2025,2025-03-27,778558,KC,CLE,666142,594902,"[663697, 677951, 686469, 521692, 686681, 592669, 669004, 624415, 664728]","[680757, 608070, 657041, 467793, 700932, 678877, 666310, 672356, 677587]"
2025,2025-03-27,778559,HOU,NYM,664285,605280,"[514888, 670623, 670541, 572233, 673237, 665161, 701358, 663898, 676694]","[596019, 665742, 624413, 668901, 607043, 516782, 621438, 682668, 620443]"
2025,2025-03-27,778561,CIN,SF,668881,657277,"[670770, 680574, 682829, 666158, 600869, 668715, 687952, 641584, 624431]","[664774, 642715, 808982, 656305, 671218, 672275, 527038, 573262, 666149]"
2025,2025-03-27,778545,SD,ATL,650633,519242,"[665487, 650333, 592518, 593428, 701538, 493329, 630105, 663604, 553869]","[595777, 663586, 621566, 542303, 645277, 671739, 686948, 606115, 672284]"
2025,2025-03-27,778554,CWS,LAA,680732,579328,"[678246, 673357, 643217, 683734, 596103, 672820, 686676, 676070, 572191]","[621493, 694384, 545361, 624585, 641313, 650859, 681351, 666176, 621028]"
2025,2025-03-27,778562,MIA,PIT,645261,694973,"[669364, 669065, 681146, 670223, 672640, 665052, 656537, 688363, 663743]","[502054, 668804, 665833, 663698, 457705, 693304, 682848, 663647, 643396]"
2025,2025-03-27,778551,STL,MIN,543243,641154,"[663457, 575929, 680977, 571448, 676475, 671056, 691023, 687363, 691026]","[670242, 621043, 621439, 663616, 680777, 664034, 650489, 669304, 664056]"
2025,2025-03-27,778546,LAD,DET,605483,669373,"[660271, 605141, 606192, 518692, 669242, 669257, 571970, 500743, 681624]","[628451, 650402, 682985, 679529, 622534, 690993, 595879, 668670, 668952]"
2025,2025-03-28,778552,AZ,CHC,668678,657006,"[606466, 682998, 666971, 647304, 672515, 553993, 545341, 664983, 672695]","[664023, 663656, 673548, 683737, 621020, 663538, 691718, 807713, 665804]"
2025,2025-03-28,778547,SEA,ATH,669302,622663,"[645302, 677594, 663728, 668227, 670042, 593871, 642133, 669208, 641487]","[671732, 667670, 668709, 669127, 609280, 691016, 570482, 691777, 805779]"
2025,2025-03-28,778560,TB,COL,686752,607536,"[678554, 650490, 664040, 691406, 666624, 643376, 666139, 676356, 670764]","[686668, 678662, 641857, 592178, 669911, 696100, 605361, 571657, 687597]"
2025,2025-03-28,778549,TOR,BAL,592332,450203,"[666182, 665489, 623993, 665926, 672386, 543807, 695238, 664770, 702176]","[681297, 668939, 676059, 656811, 641933, 656775, 663624, 702616, 622761]"
2025,2025-03-28,778548,MIA,PIT,687362,656605,"[669364, 669065, 681146, 670223, 672640, 665052, 689414, 656537, 688363]","[502054, 668804, 665833, 663698, 457705, 663647, 682848, 624428, 643396]"
2025,2025-03-29,778550,TEX,BOS,683004,656557,"[543760, 608369, 694671, 592626, 666969, 669394, 673962, 641680, 665750]","[680776, 646240, 608324, 671213, 596115, 692225, 677800, 657136, 678882]"
2025,2025-03-29,778518,HOU,NYM,686613,656731,"[514888, 670623, 670541, 572233, 673237, 665161, 701358, 663898, 676694]","[596019, 665742, 624413, 607043, 668901, 608385, 621438, 683146, 620443]"
2025,2025-03-29,778543,AZ,CHC,518876,592791,"[682998, 606466, 666971, 647304, 656976, 553993, 677950, 672695, 645444]","[664023, 663656, 673548, 683737, 621020, 663538, 691718, 807713, 608348]"
2025,2025-03-29,778541,SEA,ATH,622491,605488,"[645302, 677594, 663728, 668227, 641598, 593871, 456781, 664238, 641487]","[671732, 667670, 668709, 669127, 691016, 664913, 570482, 691777, 805779]"
2025,2025-03-29,778542,SD,ATL,656302,625643,"[665487, 650333, 592518, 701538, 630105, 593428, 657757, 518792, 455117]","[595777, 663586, 621566, 542303, 645277, 671739, 686948, 669397, 672284]"
2025,2025-03-29,778544,LAD,DET,808967,656427,"[660271, 605141, 518692, 606192, 571970, 669242, 624424, 681624, 605131]","[650402, 681481, 682985, 679529, 690993, 656716, 693307, 700242, 668952]"
2025,2025-03-29,778538,NYY,MIL,608331,641482,"[502671, 641355, 592450, 665862, 683011, 669224, 622569, 691176, 663757]","[694192, 592885, 661388, 656555, 686217, 687401, 669003, 681962, 668930]"
2025,2025-03-29,778534,CWS,LAA,686563,667755,"[678246, 673357, 643217, 683734, 665155, 672820, 642136, 676070, 681460]","[621493, 694384, 545361, 624585, 660162, 681351, 650859, 666176, 621028]"
2025,2025-03-29,778528,STL,MIN,607200,657746,"[663457, 575929, 680977, 571448, 676475, 671056, 691023, 687363, 691026]","[670242, 621043, 621439, 663616, 664034, 681508, 650489, 669304, 543877]"
2025,2025-03-29,778536,TOR,BAL,453286,665152,"[666182, 665489, 623993, 665926, 672386, 695238, 676914, 676391, 664770]","[681297, 668939, 656811, 676059, 656775, 677008, 596142, 702616, 602104]"
2025,2025-03-29,778535,WSH,PHI,663623,666200,"[682928, 686611, 695578, 605137, 642708, 663993, 660688, 657557, 696285]","[656941, 664761, 547180, 592663, 596146, 592206, 681082, 669016, 624641]"
2025,2025-03-29,778529,KC,CLE,607625,668909,"[663697, 677951, 686469, 521692, 686681, 669004, 672580, 624415, 664728]","[680757, 608070, 700932, 467793, 666134, 657041, 666310, 682177, 677587]"
2025,2025-03-29,778540,CIN,SF,666157,434378,"[670770, 680574, 682829, 666158, 600869, 687952, 669289, 641584, 624431]","[671218, 642715, 808982, 656305, 527038, 682641, 672275, 669477, 666149]"
2025,2025-03-29,778537,TB,COL,641793,622608,"[650490, 664040, 691406, 666018, 666624, 670224, 643376, 670764, 676356]","[686668, 678662, 641857, 592178, 669911, 696100, 605361, 571657, 687597]"
2025,2025-03-29,778539,MIA,PIT,678368,663559,"[669364, 672640, 681146, 676572, 667472, 656537, 669065, 663743, 691594]","[678225, 668804, 665833, 663698, 669261, 663647, 669707, 624428, 643396]"
