gid,date,year,batter,bSide,pitcher,pSide,result,isStrikeout,isWalk,bPA,bAVG,bK,bK%,bBB,bBB%,bOPS,bISO,bWhiff%,bSwStr%,bcStr%,bCSW%,bChase%,bPutaway%,pbPA,pbAVG,pbK,pbK%,pbBB,pbBB%,pbOPS,pbISO,pbWhiff%,pbSwStr%,pbcStr%,pbCSW%,pbChase%,pbPutaway%,pPA,pAVG,pK,pK%,pBB,pBB%,pOPS,pISO,pWhiff%,pSwStr%,pcStr%,pCSW%,pChase%,pPutaway%
747060,2024-03-28,2024,543685,R,669203,R,strikeout,True,False,,,,,,,,,,,,,,,122.0,0.232,16.0,13.11,16.0,13.11,0.653,0.0629999999999999,16.84,6.61,19.24,25.85,16.47,11.43,,,,,,,,,,,,,,
747060,2024-03-28,2024,543305,L,669203,R,strikeout,True,False,,,,,,,,,,,,,,,238.0,0.223,53.0,22.27,31.0,13.03,0.664,0.117,24.58,9.68,19.92,29.6,19.93,15.87,,,,,,,,,,,,,,
747060,2024-03-28,2024,545361,R,669203,R,home_run,False,False,,,,,,,,,,,,,,,266.0,0.258,76.0,28.57,36.0,13.53,0.894,0.262,30.43,13.52,13.44,26.96,17.92,21.23,,,,,,,,,,,,,,
747060,2024-03-28,2024,621493,R,669203,R,field_out,False,False,,,,,,,,,,,,,,,295.0,0.233,61.0,20.68,27.0,9.15,0.702,0.148,23.43,10.4,15.98,26.37,23.09,17.78,,,,,,,,,,,,,,
747060,2024-03-28,2024,683002,L,663776,L,walk,False,True,,,,,,,,,,,,,,,167.0,0.209,42.0,25.15,18.0,10.78,0.617,0.115,28.77,12.92,19.54,32.46,27.19,20.79,,,,,,,,,,,,,,
747060,2024-03-28,2024,668939,R,663776,L,single,False,False,,,,,,,,,,,,,,,191.0,0.304,21.0,10.99,31.0,16.23,0.895,0.177,12.46,4.9,20.56,25.46,20.79,8.71,,,,,,,,,,,,,,
747060,2024-03-28,2024,663624,R,663776,L,walk,False,True,,,,,,,,,,,,,,,161.0,0.338,29.0,18.01,15.0,9.32,1.053,0.317,25.46,14.21,11.82,26.03,41.95,16.86,,,,,,,,,,,,,,
747060,2024-03-28,2024,623993,R,663776,L,force_out,False,False,,,,,,,,,,,,,,,170.0,0.25,45.0,26.47,24.0,14.12,0.7909999999999999,0.188,28.15,11.77,18.98,30.75,26.34,19.31,,,,,,,,,,,,,,
747060,2024-03-28,2024,669720,R,663776,L,strikeout,True,False,,,,,,,,,,,,,,,167.0,0.262,37.0,22.16,16.0,9.58,0.785,0.194,26.6,11.87,17.25,29.11,29.39,20.9,,,,,,,,,,,,,,
747060,2024-03-28,2024,676059,R,663776,L,single,False,False,,,,,,,,,,,,,,,82.0,0.284,23.0,28.05,8.0,9.76,0.786,0.148,32.37,14.29,17.14,31.43,25.99,24.21,,,,,,,,,,,,,,
