gid,date,year,batter,bSide,pitcher,pSide,result,isStrikeout,isWalk
776922,2025-08-01,2025,665161,R,681867,R,single,False,False
776922,2025-08-01,2025,514888,R,681867,R,grounded_into_double_play,False,False
776922,2025-08-01,2025,660821,L,681867,R,single,False,False
776922,2025-08-01,2025,621043,R,681867,R,pickoff_error_1b,False,False
776922,2025-08-01,2025,701350,L,686613,R,field_out,False,False
776922,2025-08-01,2025,608324,R,686613,R,single,False,False
776922,2025-08-01,2025,680776,L,686613,R,strikeout,True,False
776922,2025-08-01,2025,647351,L,686613,R,field_out,False,False
776922,2025-08-01,2025,621043,R,681867,R,field_out,False,False
776922,2025-08-01,2025,673237,R,681867,R,field_out,False,False
776922,2025-08-01,2025,572233,R,681867,R,home_run,False,False
776922,2025-08-01,2025,666211,L,681867,R,strikeout,True,False
776922,2025-08-01,2025,596115,R,686613,R,field_out,False,False
776922,2025-08-01,2025,807799,L,686613,R,strikeout,True,False
776922,2025-08-01,2025,665966,R,686613,R,field_out,False,False
776922,2025-08-01,2025,701358,R,681867,R,field_out,False,False
776922,2025-08-01,2025,643289,R,681867,R,field_out,False,False
776922,2025-08-01,2025,665161,R,681867,R,single,False,False
776922,2025-08-01,2025,514888,R,681867,R,walk,False,True
776922,2025-08-01,2025,660821,L,681867,R,field_out,False,False
776922,2025-08-01,2025,677800,L,686613,R,field_out,False,False
776922,2025-08-01,2025,678882,R,686613,R,field_out,False,False
776922,2025-08-01,2025,701350,L,686613,R,single,False,False
776922,2025-08-01,2025,608324,R,686613,R,single,False,False
776922,2025-08-01,2025,680776,L,686613,R,strikeout,True,False
776922,2025-08-01,2025,621043,R,681867,R,field_out,False,False
776922,2025-08-01,2025,673237,R,681867,R,field_out,False,False
776922,2025-08-02,2025,572233,R,681867,R,strikeout,True,False
776922,2025-08-02,2025,647351,L,686613,R,strikeout,True,False
776922,2025-08-02,2025,596115,R,686613,R,strikeout,True,False
776922,2025-08-02,2025,807799,L,686613,R,field_out,False,False
776922,2025-08-02,2025,666211,L,681867,R,field_out,False,False
776922,2025-08-02,2025,701358,R,681867,R,field_error,False,False
776922,2025-08-02,2025,643289,R,681867,R,double_play,False,False
776922,2025-08-02,2025,665966,R,686613,R,strikeout,True,False
776922,2025-08-02,2025,677800,L,686613,R,field_out,False,False
776922,2025-08-02,2025,678882,R,686613,R,field_out,False,False
776922,2025-08-02,2025,665161,R,681867,R,single,False,False
776922,2025-08-02,2025,514888,R,681867,R,force_out,False,False
776922,2025-08-02,2025,660821,L,681867,R,single,False,False
776922,2025-08-02,2025,621043,R,681867,R,strikeout,True,False
776922,2025-08-02,2025,701350,L,686613,R,field_out,False,False
776922,2025-08-02,2025,608324,R,686613,R,field_out,False,False
776922,2025-08-02,2025,680776,L,686613,R,double,False,False
776922,2025-08-02,2025,647351,L,686613,R,field_out,False,False
776922,2025-08-02,2025,673237,R,681867,R,double,False,False
776922,2025-08-02,2025,572233,R,681867,R,field_out,False,False
776922,2025-08-02,2025,666211,L,681867,R,strikeout,True,False
776922,2025-08-02,2025,701358,R,681867,R,walk,False,True
776922,2025-08-02,2025,643289,R,681867,R,field_out,False,False
776922,2025-08-02,2025,596115,R,686613,R,walk,False,True
776922,2025-08-02,2025,807799,L,686613,R,hit_by_pitch,False,False
776922,2025-08-02,2025,665966,R,686613,R,sac_bunt,False,False
776922,2025-08-02,2025,677800,L,686613,R,sac_fly,False,False
776922,2025-08-02,2025,678882,R,686613,R,field_out,False,False
776922,2025-08-02,2025,665161,R,676477,R,field_out,False,False
776922,2025-08-02,2025,514888,R,676477,R,field_error,False,False
776922,2025-08-02,2025,660821,L,676477,R,strikeout,True,False
776922,2025-08-02,2025,621043,R,676477,R,field_out,False,False
776922,2025-08-02,2025,701350,L,650556,R,field_out,False,False
776922,2025-08-02,2025,608324,R,650556,R,field_out,False,False
776922,2025-08-02,2025,680776,L,650556,R,field_out,False,False
776922,2025-08-02,2025,673237,R,547973,L,strikeout,True,False
776922,2025-08-02,2025,572233,R,547973,L,field_out,False,False
776922,2025-08-02,2025,676801,R,547973,L,field_out,False,False
776922,2025-08-02,2025,663853,R,623352,L,field_out,False,False
776922,2025-08-02,2025,596115,R,623352,L,double,False,False
776922,2025-08-02,2025,608701,R,623352,L,walk,False,True
776922,2025-08-02,2025,665966,R,623352,L,field_out,False,False
776922,2025-08-02,2025,677800,L,623352,L,strikeout,True,False
776922,2025-08-02,2025,701358,R,669711,R,field_out,False,False
776922,2025-08-02,2025,643289,R,669711,R,fielders_choice_out,False,False
776922,2025-08-02,2025,665161,R,669711,R,field_out,False,False
776922,2025-08-02,2025,678882,R,656986,L,fielders_choice,False,False
776922,2025-08-02,2025,701350,L,656986,L,single,False,False
776923,2025-08-01,2025,669701,L,669923,R,field_out,False,False
776923,2025-08-01,2025,608369,L,669923,R,walk,False,True
776923,2025-08-01,2025,543760,R,669923,R,grounded_into_double_play,False,False
776923,2025-08-01,2025,668227,R,677958,R,walk,False,True
776923,2025-08-01,2025,663728,L,677958,R,force_out,False,False
776923,2025-08-01,2025,677594,R,677958,R,field_out,False,False
776923,2025-08-01,2025,647304,L,677958,R,strikeout,True,False
776923,2025-08-01,2025,666969,R,669923,R,field_out,False,False
776923,2025-08-01,2025,694497,L,669923,R,field_out,False,False
776923,2025-08-01,2025,694671,R,669923,R,field_out,False,False
776923,2025-08-01,2025,553993,R,677958,R,strikeout,True,False
776923,2025-08-01,2025,593871,L,677958,R,walk,False,True
776923,2025-08-01,2025,686527,L,677958,R,field_out,False,False
776923,2025-08-01,2025,641487,L,677958,R,strikeout,True,False
776923,2025-08-01,2025,592626,L,669923,R,walk,False,True
776923,2025-08-01,2025,642133,L,669923,R,single,False,False
776923,2025-08-01,2025,543309,R,669923,R,field_out,False,False
776923,2025-08-01,2025,669701,L,669923,R,strikeout,True,False
776923,2025-08-01,2025,608369,L,669923,R,strikeout,True,False
776923,2025-08-01,2025,702284,L,677958,R,field_out,False,False
776923,2025-08-01,2025,668227,R,677958,R,single,False,False
776923,2025-08-01,2025,663728,L,677958,R,force_out,False,False
776923,2025-08-01,2025,677594,R,677958,R,field_out,False,False
776923,2025-08-01,2025,543760,R,669923,R,field_out,False,False
776923,2025-08-01,2025,666969,R,669923,R,field_out,False,False
776923,2025-08-01,2025,694497,L,669923,R,strikeout,True,False
776923,2025-08-01,2025,647304,L,677958,R,field_out,False,False
776923,2025-08-01,2025,553993,R,677958,R,double,False,False
776923,2025-08-01,2025,593871,L,677958,R,field_out,False,False
776923,2025-08-01,2025,686527,L,677958,R,single,False,False
776923,2025-08-01,2025,641487,L,677958,R,field_out,False,False
776923,2025-08-01,2025,694671,R,669923,R,field_out,False,False
776923,2025-08-01,2025,592626,L,669923,R,strikeout,True,False
776923,2025-08-01,2025,642133,L,669923,R,field_out,False,False
776923,2025-08-01,2025,702284,L,677958,R,home_run,False,False
776923,2025-08-01,2025,668227,R,677958,R,field_out,False,False
776923,2025-08-01,2025,663728,L,677958,R,home_run,False,False
776923,2025-08-01,2025,677594,R,677958,R,field_out,False,False
776923,2025-08-01,2025,647304,L,677958,R,single,False,False
776923,2025-08-01,2025,553993,R,656641,L,field_out,False,False
776923,2025-08-01,2025,543309,R,669923,R,strikeout,True,False
776923,2025-08-01,2025,669701,L,669923,R,strikeout,True,False
776923,2025-08-01,2025,608369,L,669923,R,single,False,False
776923,2025-08-01,2025,543760,R,669923,R,double,False,False
776923,2025-08-01,2025,666969,R,669923,R,field_out,False,False
776923,2025-08-01,2025,593871,R,656641,L,walk,False,True
776923,2025-08-01,2025,686527,L,656641,L,strikeout,True,False
776923,2025-08-01,2025,641487,L,656641,L,single,False,False
776923,2025-08-01,2025,702284,L,656641,L,triple,False,False
776923,2025-08-01,2025,668227,R,656641,L,field_out,False,False
776923,2025-08-01,2025,663728,R,656641,L,field_out,False,False
776923,2025-08-01,2025,664059,R,657571,L,field_out,False,False
776923,2025-08-01,2025,694671,R,657571,L,field_out,False,False
776923,2025-08-01,2025,592626,L,657571,L,field_out,False,False
776923,2025-08-01,2025,677594,R,681168,R,strikeout,True,False
776923,2025-08-01,2025,647304,L,681168,R,strikeout,True,False
776923,2025-08-01,2025,553993,R,681168,R,field_out,False,False
776923,2025-08-01,2025,642133,L,663423,R,field_out,False,False
776923,2025-08-01,2025,543309,R,663423,R,field_out,False,False
776923,2025-08-01,2025,669701,L,663423,R,strikeout,True,False
776923,2025-08-01,2025,593871,L,681168,R,field_out,False,False
776923,2025-08-01,2025,686527,L,681168,R,single,False,False
776923,2025-08-01,2025,641487,L,681168,R,strikeout,True,False
776923,2025-08-01,2025,702284,L,681168,R,field_out,False,False
776923,2025-08-01,2025,608369,L,663423,R,strikeout,True,False
776923,2025-08-01,2025,543760,R,663423,R,field_out,False,False
776923,2025-08-01,2025,666969,R,663423,R,single,False,False
776923,2025-08-01,2025,664059,L,668984,R,strikeout,True,False
776921,2025-08-01,2025,595777,L,663903,R,strikeout,True,False
776921,2025-08-01,2025,621566,L,663903,R,strikeout,True,False
776921,2025-08-01,2025,663586,R,663903,R,strikeout,True,False
776921,2025-08-01,2025,666158,L,693821,R,single,False,False
776921,2025-08-01,2025,680574,R,693821,R,field_out,False,False
776921,2025-08-01,2025,682829,L,693821,R,grounded_into_double_play,False,False
776921,2025-08-01,2025,686948,L,663903,R,single,False,False
776921,2025-08-01,2025,542303,R,663903,R,field_out,False,False
776921,2025-08-01,2025,671739,L,663903,R,single,False,False
776921,2025-08-01,2025,645277,L,663903,R,walk,False,True
776921,2025-08-01,2025,642201,R,663903,R,strikeout,True,False
776921,2025-08-01,2025,669397,R,663903,R,field_out,False,False
776921,2025-08-01,2025,682622,R,693821,R,field_out,False,False
776921,2025-08-01,2025,668715,R,693821,R,field_out,False,False
776921,2025-08-01,2025,641584,L,693821,R,field_out,False,False
776921,2025-08-01,2025,595777,L,663903,R,field_out,False,False
776921,2025-08-01,2025,621566,L,663903,R,single,False,False
776921,2025-08-01,2025,663586,R,663903,R,strikeout,True,False
776921,2025-08-01,2025,686948,L,663903,R,field_out,False,False
776921,2025-08-01,2025,624431,R,693821,R,field_out,False,False
776921,2025-08-01,2025,666181,L,693821,R,strikeout,True,False
776921,2025-08-01,2025,663647,R,693821,R,field_out,False,False
776921,2025-08-01,2025,542303,R,663903,R,strikeout,True,False
776921,2025-08-01,2025,671739,L,663903,R,strikeout,True,False
776921,2025-08-01,2025,645277,L,663903,R,field_out,False,False
776921,2025-08-01,2025,666158,L,693821,R,single,False,False
776921,2025-08-01,2025,680574,R,693821,R,strikeout,True,False
776921,2025-08-01,2025,682829,L,693821,R,field_out,False,False
776921,2025-08-01,2025,682622,R,693821,R,force_out,False,False
776921,2025-08-01,2025,642201,R,663903,R,single,False,False
776921,2025-08-01,2025,669397,R,663903,R,sac_bunt,False,False
776921,2025-08-01,2025,595777,L,663903,R,field_out,False,False
776921,2025-08-01,2025,621566,L,663903,R,strikeout,True,False
776921,2025-08-01,2025,668715,R,693821,R,field_out,False,False
776921,2025-08-01,2025,641584,L,693821,R,field_out,False,False
776921,2025-08-01,2025,624431,R,693821,R,field_out,False,False
776921,2025-08-01,2025,663586,R,663903,R,strikeout,True,False
776921,2025-08-01,2025,686948,L,663903,R,field_out,False,False
776921,2025-08-01,2025,542303,R,663903,R,strikeout,True,False
776921,2025-08-01,2025,666181,L,693821,R,single,False,False
776921,2025-08-01,2025,663647,R,693821,R,field_out,False,False
776921,2025-08-01,2025,666158,L,693821,R,strikeout,True,False
776921,2025-08-01,2025,680574,R,693821,R,single,False,False
776921,2025-08-01,2025,682829,L,693821,R,intent_walk,False,True
776921,2025-08-01,2025,682622,R,693821,R,strikeout,True,False
776921,2025-08-01,2025,671739,L,605130,R,field_out,False,False
776921,2025-08-01,2025,645277,L,605130,R,field_out,False,False
776921,2025-08-01,2025,642201,R,605130,R,strikeout,True,False
776921,2025-08-01,2025,668715,R,693821,R,walk,False,True
776921,2025-08-01,2025,641584,L,693821,R,strikeout,True,False
776921,2025-08-01,2025,624431,R,693821,R,field_out,False,False
776921,2025-08-01,2025,666181,L,689266,L,home_run,False,False
776921,2025-08-01,2025,663647,R,689266,L,field_out,False,False
776921,2025-08-01,2025,669221,R,663574,R,strikeout,True,False
776921,2025-08-01,2025,595777,L,663574,R,walk,False,True
776921,2025-08-01,2025,621566,L,663574,R,double,False,False
776921,2025-08-01,2025,663586,R,663574,R,strikeout,True,False
776921,2025-08-01,2025,686948,L,663574,R,field_out,False,False
776921,2025-08-01,2025,669720,R,689266,L,strikeout,True,False
776921,2025-08-01,2025,680574,R,689266,L,strikeout,True,False
776921,2025-08-01,2025,682829,R,689266,L,strikeout,True,False
776921,2025-08-01,2025,542303,R,641941,R,walk,False,True
776921,2025-08-01,2025,671739,L,641941,R,single,False,False
776921,2025-08-01,2025,645277,L,641941,R,single,False,False
776921,2025-08-01,2025,642201,R,641941,R,strikeout,True,False
776921,2025-08-01,2025,663897,R,641941,R,sac_fly,False,False
776921,2025-08-01,2025,595777,L,641941,R,field_out,False,False
776915,2025-08-01,2025,702616,L,690990,R,walk,False,True
776915,2025-08-01,2025,676059,R,690990,R,strikeout,True,False
776915,2025-08-01,2025,683002,L,690990,R,walk,False,True
776915,2025-08-01,2025,668939,L,690990,R,field_out,False,False
776915,2025-08-01,2025,641933,R,690990,R,field_out,False,False
776915,2025-08-01,2025,663538,R,669432,L,field_out,False,False
776915,2025-08-01,2025,663656,L,669432,L,field_out,False,False
776915,2025-08-01,2025,673548,R,669432,L,field_out,False,False
776915,2025-08-01,2025,681297,L,690990,R,field_out,False,False
776915,2025-08-01,2025,691723,R,690990,R,strikeout,True,False
776915,2025-08-01,2025,666185,L,690990,R,field_out,False,False
776915,2025-08-01,2025,608348,R,669432,L,single,False,False
776915,2025-08-01,2025,691718,L,669432,L,double,False,False
776915,2025-08-01,2025,621020,R,669432,L,strikeout,True,False
776915,2025-08-01,2025,664023,R,669432,L,sac_fly,False,False
776915,2025-08-01,2025,683737,L,669432,L,field_out,False,False
776915,2025-08-01,2025,669236,R,690990,R,field_out,False,False
776915,2025-08-01,2025,702616,L,690990,R,single,False,False
776915,2025-08-01,2025,676059,R,690990,R,force_out,False,False
776915,2025-08-01,2025,683002,L,690990,R,field_out,False,False
776915,2025-08-01,2025,807713,R,669432,L,field_out,False,False
776915,2025-08-01,2025,663538,R,669432,L,strikeout,True,False
776915,2025-08-01,2025,663656,L,669432,L,strikeout,True,False
776915,2025-08-01,2025,668939,L,690990,R,field_out,False,False
776915,2025-08-01,2025,641933,R,690990,R,field_out,False,False
776915,2025-08-01,2025,681297,L,690990,R,strikeout,True,False
776915,2025-08-01,2025,673548,R,669432,L,field_out,False,False
776915,2025-08-01,2025,608348,R,669432,L,strikeout,True,False
776915,2025-08-01,2025,691718,L,669432,L,field_out,False,False
776915,2025-08-01,2025,691723,R,690990,R,walk,False,True
776915,2025-08-01,2025,666185,L,690990,R,grounded_into_double_play,False,False
776915,2025-08-01,2025,669236,R,690990,R,single,False,False
776915,2025-08-01,2025,702616,L,690990,R,caught_stealing_2b,False,False
776915,2025-08-01,2025,621020,R,669432,L,field_out,False,False
776915,2025-08-01,2025,664023,R,669432,L,field_out,False,False
776915,2025-08-01,2025,683737,L,669432,L,strikeout,True,False
776915,2025-08-01,2025,702616,L,573204,L,field_out,False,False
776915,2025-08-01,2025,676059,R,573204,L,field_out,False,False
776915,2025-08-01,2025,683002,L,573204,L,strikeout,True,False
776915,2025-08-01,2025,807713,R,669432,L,double,False,False
776915,2025-08-01,2025,663538,R,669432,L,strikeout,True,False
776915,2025-08-01,2025,663656,L,669432,L,field_out,False,False
776915,2025-08-01,2025,673548,R,669432,L,strikeout,True,False
776915,2025-08-01,2025,668939,L,552640,R,field_out,False,False
776915,2025-08-01,2025,641933,R,552640,R,strikeout,True,False
776915,2025-08-01,2025,681297,L,552640,R,strikeout,True,False
776915,2025-08-01,2025,608348,R,669432,L,single,False,False
776915,2025-08-01,2025,691718,L,669432,L,field_out,False,False
776915,2025-08-01,2025,621020,R,669432,L,strikeout,True,False
776915,2025-08-01,2025,664023,R,669432,L,field_out,False,False
776915,2025-08-01,2025,691723,R,641745,R,strikeout,True,False
776915,2025-08-01,2025,666185,L,641745,R,walk,False,True
776915,2025-08-01,2025,669236,R,641745,R,strikeout,True,False
776915,2025-08-01,2025,702616,L,641745,R,field_out,False,False
776915,2025-08-01,2025,683737,L,669432,L,field_out,False,False
776915,2025-08-01,2025,807713,R,669432,L,field_out,False,False
776915,2025-08-01,2025,663538,R,669432,L,field_out,False,False
776915,2025-08-01,2025,676059,R,694037,R,field_out,False,False
776915,2025-08-01,2025,683002,L,694037,R,field_out,False,False
776915,2025-08-01,2025,668939,L,694037,R,double,False,False
776915,2025-08-01,2025,641933,R,694037,R,field_out,False,False
776913,2025-08-01,2025,663330,R,624133,L,field_out,False,False
776913,2025-08-01,2025,650402,R,624133,L,field_out,False,False
776913,2025-08-01,2025,628451,R,624133,L,field_out,False,False
776913,2025-08-01,2025,607208,R,656427,R,field_out,False,False
776913,2025-08-01,2025,656941,L,656427,R,strikeout,True,False
776913,2025-08-01,2025,547180,L,656427,R,field_out,False,False
776913,2025-08-01,2025,679529,R,624133,L,field_out,False,False
776913,2025-08-01,2025,682985,L,624133,L,field_out,False,False
776913,2025-08-01,2025,663837,R,624133,L,field_out,False,False
776913,2025-08-01,2025,592663,R,656427,R,field_out,False,False
776913,2025-08-01,2025,592206,R,656427,R,strikeout,True,False
776913,2025-08-01,2025,669016,L,656427,R,strikeout,True,False
776913,2025-08-01,2025,693307,R,624133,L,strikeout,True,False
776913,2025-08-01,2025,672761,R,624133,L,single,False,False
776913,2025-08-01,2025,595879,R,624133,L,single,False,False
776913,2025-08-01,2025,663330,R,624133,L,force_out,False,False
776913,2025-08-01,2025,650402,R,624133,L,home_run,False,False
776913,2025-08-01,2025,628451,R,624133,L,field_out,False,False
776913,2025-08-01,2025,596146,L,656427,R,field_out,False,False
776913,2025-08-01,2025,624641,R,656427,R,strikeout,True,False
776913,2025-08-01,2025,681082,L,656427,R,walk,False,True
776913,2025-08-01,2025,607208,R,656427,R,force_out,False,False
776913,2025-08-01,2025,679529,R,624133,L,strikeout,True,False
776913,2025-08-01,2025,682985,L,624133,L,field_out,False,False
776913,2025-08-01,2025,663837,R,624133,L,single,False,False
776913,2025-08-01,2025,693307,R,624133,L,force_out,False,False
776913,2025-08-02,2025,656941,L,656427,R,strikeout,True,False
776913,2025-08-02,2025,547180,L,656427,R,walk,False,True
776913,2025-08-02,2025,592663,R,656427,R,field_out,False,False
776913,2025-08-02,2025,592206,R,656427,R,strikeout,True,False
776913,2025-08-02,2025,672761,R,624133,L,field_out,False,False
776913,2025-08-02,2025,595879,R,624133,L,field_out,False,False
776913,2025-08-02,2025,663330,R,624133,L,strikeout,True,False
776913,2025-08-02,2025,669016,L,656427,R,field_out,False,False
776913,2025-08-02,2025,596146,L,656427,R,field_out,False,False
776913,2025-08-02,2025,624641,R,656427,R,double,False,False
776913,2025-08-02,2025,681082,L,656427,R,walk,False,True
776913,2025-08-02,2025,607208,R,656427,R,field_out,False,False
776913,2025-08-02,2025,650402,R,624133,L,field_out,False,False
776913,2025-08-02,2025,628451,R,624133,L,field_out,False,False
776913,2025-08-02,2025,679529,R,624133,L,strikeout,True,False
776913,2025-08-02,2025,656941,L,656427,R,field_out,False,False
776913,2025-08-02,2025,547180,L,656427,R,strikeout,True,False
776913,2025-08-02,2025,592663,R,656427,R,field_out,False,False
776913,2025-08-02,2025,682985,L,624133,L,field_out,False,False
776913,2025-08-02,2025,663837,R,624133,L,strikeout,True,False
776913,2025-08-02,2025,693307,R,624133,L,field_out,False,False
776913,2025-08-02,2025,592206,R,656427,R,single,False,False
776913,2025-08-02,2025,805249,R,663947,L,single,False,False
776913,2025-08-02,2025,664056,R,663947,L,walk,False,True
776913,2025-08-02,2025,624641,R,663947,L,field_out,False,False
776913,2025-08-02,2025,681082,L,663947,L,sac_fly,False,False
776913,2025-08-02,2025,607208,R,676684,R,single,False,False
776913,2025-08-02,2025,656941,L,676684,R,single,False,False
776913,2025-08-02,2025,547180,L,676684,R,strikeout,True,False
776913,2025-08-02,2025,672761,L,689147,R,home_run,False,False
776913,2025-08-02,2025,595879,R,689147,R,field_out,False,False
776913,2025-08-02,2025,681481,L,689147,R,field_out,False,False
776913,2025-08-02,2025,650402,R,689147,R,field_out,False,False
776913,2025-08-02,2025,592663,R,669724,R,strikeout,True,False
776913,2025-08-02,2025,592206,R,669724,R,single,False,False
776913,2025-08-02,2025,805249,R,669724,R,double,False,False
776913,2025-08-02,2025,664056,R,669724,R,strikeout,True,False
776913,2025-08-02,2025,624641,R,669724,R,field_error,False,False
776913,2025-08-02,2025,681082,L,676428,L,single,False,False
776913,2025-08-02,2025,607208,R,676428,L,strikeout,True,False
776913,2025-08-02,2025,690993,L,661395,R,field_out,False,False
776913,2025-08-02,2025,679529,R,661395,R,field_out,False,False
776913,2025-08-02,2025,682985,L,661395,R,field_out,False,False
776917,2025-08-01,2025,663604,R,680730,L,strikeout,True,False
776917,2025-08-01,2025,661388,R,680730,L,single,False,False
776917,2025-08-01,2025,592885,L,680730,L,walk,False,True
776917,2025-08-01,2025,683734,R,680730,L,strikeout,True,False
776917,2025-08-01,2025,702332,R,680730,L,field_out,False,False
776917,2025-08-01,2025,682928,L,500779,L,double,False,False
776917,2025-08-01,2025,695578,L,500779,L,field_out,False,False
776917,2025-08-01,2025,657557,R,500779,L,field_out,False,False
776917,2025-08-01,2025,671277,L,500779,L,single,False,False
776917,2025-08-01,2025,663993,L,500779,L,strikeout,True,False
776917,2025-08-01,2025,643376,R,680730,L,field_out,False,False
776917,2025-08-01,2025,663368,R,680730,L,home_run,False,False
776917,2025-08-01,2025,655316,R,680730,L,strikeout,True,False
776917,2025-08-01,2025,687401,R,680730,L,single,False,False
776917,2025-08-01,2025,663604,R,680730,L,field_out,False,False
776917,2025-08-01,2025,691781,R,500779,L,field_out,False,False
776917,2025-08-01,2025,695734,L,500779,L,strikeout,True,False
776917,2025-08-01,2025,656180,R,500779,L,single,False,False
776917,2025-08-01,2025,696285,R,500779,L,field_out,False,False
776917,2025-08-01,2025,661388,R,680730,L,single,False,False
776917,2025-08-01,2025,592885,L,680730,L,single,False,False
776917,2025-08-01,2025,683734,R,680730,L,single,False,False
776917,2025-08-01,2025,702332,R,680730,L,single,False,False
776917,2025-08-01,2025,643376,R,680730,L,sac_fly,False,False
776917,2025-08-01,2025,663368,R,680730,L,field_out,False,False
776917,2025-08-01,2025,655316,R,680730,L,double,False,False
776917,2025-08-01,2025,687401,R,680730,L,double,False,False
776917,2025-08-01,2025,663604,R,680730,L,field_out,False,False
776917,2025-08-01,2025,682928,L,500779,L,walk,False,True
776917,2025-08-01,2025,695578,L,500779,L,grounded_into_double_play,False,False
776917,2025-08-01,2025,657557,R,500779,L,home_run,False,False
776917,2025-08-01,2025,671277,L,500779,L,field_out,False,False
776917,2025-08-01,2025,661388,R,680730,L,single,False,False
776917,2025-08-01,2025,592885,L,680730,L,field_out,False,False
776917,2025-08-01,2025,683734,R,680730,L,field_out,False,False
776917,2025-08-01,2025,702332,R,680730,L,force_out,False,False
