gid,date,year,batter,bSide,pitcher,pSide,result,isStrikeout,isWalk,bPA,bAVG,bK,bK%,bBB,bBB%,bOPS,bISO,bWhiff%,bSwStr%,bcStr%,bCSW%,bChase%,bPutaway%,pbPA,pbAVG,pbK,pbK%,pbBB,pbBB%,pbOPS,pbISO,pbWhiff%,pbSwStr%,pbcStr%,pbCSW%,pbChase%,pbPutaway%,pPA,pAVG,pK,pK%,pBB,pBB%,pOPS,pISO,pWhiff%,pSwStr%,pcStr%,pCSW%,pChase%,pPutaway%,ppPA,ppAVG,ppK,ppK%,ppBB,ppBB%,ppOPS,ppISO,ppWhiff%,ppSwStr%,ppcStr%,ppCSW%,ppChase%,ppPutaway%
824094,2026-07-01,2026,650490,R,607625,R,strikeout,True,False,243.0,0.343,29.0,11.93,25.0,10.29,0.9470000000000001,0.176,12.94,5.66,18.31,23.97,23.61,11.55,470.0,0.306,76.0,16.17,38.0,8.09,0.8200000000000001,0.148,19.5,8.42,18.53,26.96,22.87,15.64,136.0,0.252,22.0,16.18,8.0,5.88,0.784,0.236,16.24,7.95,17.99,25.94,29.49,16.54,250.0,0.203,58.0,23.2,24.0,9.6,0.609,0.126,22.04,9.69,20.1,29.8,23.42,18.69
824094,2026-07-01,2026,666018,L,607625,R,single,False,False,246.0,0.3,49.0,19.92,34.0,13.82,0.936,0.23200000000000004,19.68,8.72,16.41,25.13,28.76,16.9,324.0,0.329,80.0,24.69,29.0,8.95,0.929,0.202,24.78,12.49,13.61,26.1,29.4,17.98,246.0,0.284,47.0,19.11,22.0,8.94,0.7709999999999999,0.139,18.83,8.81,16.88,25.68,23.46,16.38,364.0,0.272,67.0,18.41,31.0,8.52,0.857,0.24,19.61,8.57,17.99,26.55,24.02,17.4
824094,2026-07-01,2026,691406,R,607625,R,home_run,False,False,261.0,0.291,48.0,18.39,28.0,10.73,0.939,0.282,22.6,9.36,18.53,27.89,29.36,19.35,461.0,0.27,94.0,20.39,29.0,6.29,0.8660000000000001,0.279,24.52,12.48,13.9,26.38,32.28,17.66,136.0,0.252,22.0,16.18,8.0,5.88,0.784,0.236,16.24,7.95,17.99,25.94,29.49,16.54,250.0,0.203,58.0,23.2,24.0,9.6,0.609,0.126,22.04,9.69,20.1,29.8,23.42,18.69
824094,2026-07-01,2026,683748,L,607625,R,field_out,False,False,61.0,0.208,14.0,22.95,8.0,13.11,0.7070000000000001,0.18800000000000003,27.97,14.22,12.93,27.16,32.58,17.57,26.0,0.136,4.0,15.38,4.0,15.38,0.496,0.091,19.3,10.19,10.19,20.37,36.51,8.82,246.0,0.284,47.0,19.11,22.0,8.94,0.7709999999999999,0.139,18.83,8.81,16.88,25.68,23.46,16.38,364.0,0.272,67.0,18.41,31.0,8.52,0.857,0.24,19.61,8.57,17.99,26.55,24.02,17.4
824094,2026-07-01,2026,802415,L,607625,R,double,False,False,217.0,0.296,20.0,9.22,15.0,6.91,0.698,0.055999999999999994,10.0,4.45,20.49,24.93,26.46,10.47,328.0,0.293,34.0,10.37,15.0,4.57,0.687,0.069,10.54,5.05,20.3,25.35,28.78,11.93,246.0,0.284,47.0,19.11,22.0,8.94,0.7709999999999999,0.139,18.83,8.81,16.88,25.68,23.46,16.38,364.0,0.272,67.0,18.41,31.0,8.52,0.857,0.24,19.61,8.57,17.99,26.55,24.02,17.4
824094,2026-07-01,2026,656775,L,607625,R,strikeout,True,False,206.0,0.199,43.0,20.87,17.0,8.25,0.631,0.15999999999999998,21.53,10.65,14.32,24.97,28.54,18.07,366.0,0.198,99.0,27.05,35.0,9.56,0.657,0.18,24.61,11.95,14.19,26.13,26.8,18.05,246.0,0.284,47.0,19.11,22.0,8.94,0.7709999999999999,0.139,18.83,8.81,16.88,25.68,23.46,16.38,364.0,0.272,67.0,18.41,31.0,8.52,0.857,0.24,19.61,8.57,17.99,26.55,24.02,17.4
824094,2026-07-01,2026,657041,R,663556,L,strikeout,True,False,101.0,0.25,20.0,19.8,16.0,15.84,0.6990000000000001,0.08300000000000002,20.62,7.86,18.1,25.95,16.52,16.81,47.0,0.15,12.0,25.53,6.0,12.77,0.5549999999999999,0.15,30.34,14.06,15.1,29.17,26.0,19.05,250.0,0.236,59.0,23.6,22.0,8.8,0.644,0.10200000000000004,26.27,12.84,16.36,29.19,32.11,21.85,,,,,,,,,,,,,,
824094,2026-07-01,2026,677951,R,663556,L,single,False,False,82.0,0.347,6.0,7.32,9.0,10.98,0.984,0.22199999999999998,15.17,7.1,17.42,24.52,40.11,6.98,146.0,0.328,30.0,20.55,13.0,8.9,0.879,0.1609999999999999,23.62,11.66,13.84,25.5,29.6,19.11,250.0,0.236,59.0,23.6,22.0,8.8,0.644,0.10200000000000004,26.27,12.84,16.36,29.19,32.11,21.85,,,,,,,,,,,,,,
824094,2026-07-01,2026,695506,L,663556,L,field_out,False,False,85.0,0.272,27.0,31.76,1.0,1.18,0.8,0.22199999999999998,30.43,16.07,17.05,33.11,41.25,27.27,67.0,0.18,15.0,22.39,4.0,5.97,0.631,0.197,31.82,15.35,19.3,34.65,39.02,24.59,62.0,0.164,14.0,22.58,6.0,9.68,0.585,0.163,31.07,14.55,17.27,31.82,26.36,25.93,,,,,,,,,,,,,,
824094,2026-07-01,2026,516782,R,663556,L,field_out,False,False,80.0,0.271,20.0,25.0,7.0,8.75,0.638,0.02899999999999997,29.41,14.95,17.94,32.89,35.57,18.87,147.0,0.263,30.0,20.41,11.0,7.48,0.7330000000000001,0.143,25.95,12.86,16.12,28.99,28.47,15.23,250.0,0.236,59.0,23.6,22.0,8.8,0.644,0.10200000000000004,26.27,12.84,16.36,29.19,32.11,21.85,,,,,,,,,,,,,,
