mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
605483,620,533,2607,0.176,196,31.61,78,12.58,0.284,0.281,0.565,0.10500000000000004,1127,423,37.53,16.23,416,15.96,32.18,29.24,26.2
656756,671,617,2552,0.241,144,21.46,46,6.86,0.296,0.4,0.696,0.15900000000000003,1208,330,27.32,12.93,416,16.3,29.23,30.43,19.54
571578,650,591,2402,0.301,100,15.38,47,7.23,0.35,0.501,0.851,0.2,1090,227,20.83,9.45,372,15.49,24.94,26.53,15.87
664285,666,605,2392,0.23,155,23.27,43,6.46,0.286,0.359,0.645,0.12899999999999998,1135,294,25.9,12.29,396,16.56,28.85,28.37,25.66
666200,582,528,2347,0.246,157,26.98,48,8.25,0.312,0.43,0.742,0.184,1147,349,30.43,14.87,350,14.91,29.78,30.81,21.14
676664,597,538,2305,0.232,137,22.95,40,6.7,0.303,0.446,0.749,0.214,1179,294,24.94,12.75,323,14.01,26.77,28.36,18.52
579328,561,515,2256,0.266,142,25.31,40,7.13,0.321,0.435,0.756,0.16899999999999998,1105,309,27.96,13.7,332,14.72,28.41,29.66,21.23
663776,539,466,2187,0.262,108,20.04,66,12.24,0.355,0.391,0.746,0.129,1006,282,28.03,12.89,353,16.14,29.04,27.7,16.95
672282,510,450,2111,0.236,145,28.43,48,9.41,0.32,0.373,0.6930000000000001,0.137,1034,285,27.56,13.5,316,14.97,28.47,28.07,21.51
657006,576,535,2104,0.247,134,23.26,28,4.86,0.291,0.346,0.637,0.09899999999999998,1128,256,22.7,12.17,304,14.45,26.62,32.3,19.88
571760,514,464,2063,0.246,125,24.32,38,7.39,0.314,0.448,0.762,0.202,1040,282,27.12,13.67,284,13.77,27.44,32.52,19.0
686610,508,442,2023,0.271,106,20.87,53,10.43,0.354,0.459,0.813,0.188,974,245,25.15,12.11,277,13.69,25.8,27.79,17.29
448179,533,482,2007,0.284,106,19.89,39,7.32,0.343,0.51,0.853,0.22600000000000003,937,172,18.36,8.57,395,19.68,28.25,25.41,17.94
607536,531,488,1894,0.311,67,12.62,34,6.4,0.355,0.545,0.9,0.23400000000000004,963,158,16.41,8.34,273,14.41,22.76,29.8,12.85
666129,504,475,1889,0.261,117,23.21,18,3.57,0.3,0.448,0.748,0.187,911,222,24.37,11.75,345,18.26,30.02,31.19,20.78
542881,491,432,1886,0.266,93,18.94,44,8.96,0.336,0.447,0.783,0.181,959,271,28.26,14.37,254,13.47,27.84,30.37,16.52
593958,483,437,1873,0.24,107,22.15,36,7.45,0.299,0.378,0.677,0.138,896,207,23.1,11.05,337,17.99,29.04,29.27,18.6
608337,471,426,1856,0.249,118,25.05,35,7.43,0.315,0.493,0.808,0.244,889,264,29.7,14.22,296,15.95,30.17,28.11,20.52
669022,452,406,1854,0.241,113,25.0,39,8.63,0.307,0.453,0.76,0.21200000000000002,904,242,26.77,13.05,278,14.99,28.05,30.71,20.29
592767,466,415,1825,0.241,105,22.53,41,8.8,0.312,0.446,0.758,0.20500000000000002,851,238,27.97,13.04,290,15.89,28.93,32.06,19.66
671106,448,405,1764,0.274,99,22.1,38,8.48,0.335,0.435,0.77,0.16099999999999998,842,202,23.99,11.45,292,16.55,28.0,29.16,18.32
624133,448,396,1744,0.278,100,22.32,45,10.04,0.351,0.424,0.7749999999999999,0.14599999999999996,766,185,24.15,10.61,305,17.49,28.1,27.96,20.41
596295,477,439,1740,0.278,72,15.09,33,6.92,0.333,0.476,0.8089999999999999,0.19799999999999995,829,156,18.82,8.97,274,15.75,24.71,24.01,15.86
527048,474,422,1736,0.282,72,15.19,43,9.07,0.346,0.46,0.806,0.17800000000000005,768,137,17.84,7.89,321,18.49,26.38,27.5,16.25
477132,441,405,1726,0.217,126,28.57,33,7.48,0.277,0.39,0.667,0.17300000000000001,842,253,30.05,14.66,288,16.69,31.34,30.73,23.6
543037,437,410,1720,0.21,116,26.54,22,5.03,0.257,0.312,0.569,0.10200000000000001,886,233,26.3,13.55,260,15.12,28.66,31.84,19.56
668678,438,409,1703,0.232,114,26.03,21,4.79,0.274,0.362,0.636,0.12999999999999998,833,206,24.73,12.1,282,16.56,28.66,29.96,21.04
571945,453,419,1702,0.279,75,16.56,23,5.08,0.324,0.422,0.746,0.14299999999999996,834,147,17.63,8.64,302,17.74,26.38,27.28,13.98
