Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
SI,Sinker,FB,328,35.65,89,84,14,15.73,5,5.62,132,13,9.85,3.96,79,24.09,28.05,15.97,36.77,17.07,0.369,0.404,0.69,1.094,0.3209999999999999,425794
FC,Cutter,FB,271,29.46,67,62,4,5.97,4,5.97,128,22,17.19,8.12,40,14.76,22.88,22.92,12.56,14.29,0.371,0.409,0.452,0.861,0.081,425794
CU,Curveball,BR,267,29.02,81,77,10,12.35,3,3.7,124,23,18.55,8.61,45,16.85,25.47,30.37,40.81,10.99,0.26,0.288,0.403,0.6910000000000001,0.143,425794
FF,4-Seam Fastball,FB,37,4.02,13,13,2,15.38,0,0.0,19,4,21.05,10.81,6,16.22,27.03,20.0,5.83,15.38,0.462,0.462,1.0,1.462,0.538,425794
CH,Changeup,OS,8,0.87,1,0,0,0.0,0,0.0,3,0,0.0,0.0,1,12.5,12.5,0.0,1.79,0.0,,1.0,,,,425794
SL,Slider,BR,5,0.54,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,1.79,0.0,1.0,1.0,1.0,2.0,0.0,425794
,,,3,0.33,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.45,0.0,,,,,,425794
CS,Slow Curve,BR,1,0.11,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,425794
SL,Slider,BR,372,30.1,106,100,22,20.75,5,4.72,195,49,25.13,13.17,40,10.75,23.92,36.65,37.2,15.94,0.18,0.217,0.24,0.4569999999999999,0.06,425844
SI,Sinker,FB,301,24.35,72,69,7,9.72,3,4.17,124,10,8.06,3.32,77,25.58,28.9,20.15,14.29,13.21,0.333,0.361,0.536,0.897,0.203,425844
FF,4-Seam Fastball,FB,235,19.01,53,47,13,24.53,3,5.66,109,26,23.85,11.06,55,23.4,34.47,18.09,18.33,19.12,0.149,0.226,0.277,0.503,0.128,425844
CU,Curveball,BR,126,10.19,33,30,5,15.15,2,6.06,64,17,26.56,13.49,18,14.29,27.78,34.33,6.2,21.74,0.433,0.455,0.867,1.322,0.434,425844
FC,Cutter,FB,110,8.9,37,36,4,10.81,0,0.0,62,12,19.35,10.91,18,16.36,27.27,42.31,9.43,11.43,0.333,0.324,0.444,0.768,0.1109999999999999,425844
