mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
554430,418,375,1724,0.221,111,26.56,39,9.33,0.299,0.416,0.715,0.19499999999999998,852,225,26.41,13.05,238,13.81,26.86,30.31,20.33
657277,437,395,1699,0.263,97,22.2,36,8.24,0.323,0.359,0.6819999999999999,0.09599999999999997,772,169,21.89,9.95,324,19.07,29.02,33.33,18.06
607625,445,403,1696,0.246,101,22.7,32,7.19,0.309,0.377,0.6859999999999999,0.131,773,185,23.93,10.91,326,19.22,30.13,27.58,20.53
605400,421,385,1657,0.236,88,20.9,30,7.13,0.291,0.431,0.722,0.195,777,177,22.78,10.68,272,16.42,27.1,30.38,17.9
663903,419,371,1644,0.291,91,21.72,39,9.31,0.367,0.488,0.855,0.197,708,182,25.71,11.07,308,18.73,29.81,24.03,20.92
621244,420,374,1604,0.214,85,20.24,36,8.57,0.294,0.404,0.698,0.19000000000000003,717,156,21.76,9.73,299,18.64,28.37,26.77,19.02
676440,395,361,1602,0.263,102,25.82,28,7.09,0.32,0.46,0.78,0.197,787,201,25.54,12.55,255,15.92,28.46,26.44,18.99
686613,381,340,1589,0.209,103,27.03,37,9.71,0.285,0.338,0.623,0.12900000000000003,735,211,28.71,13.28,261,16.43,29.7,26.01,19.69
663623,398,360,1587,0.247,78,19.6,33,8.29,0.313,0.456,0.769,0.20900000000000002,772,182,23.58,11.47,242,15.25,26.72,24.66,15.79
656302,373,335,1579,0.212,97,26.01,33,8.85,0.282,0.37,0.6519999999999999,0.158,737,208,28.22,13.17,231,14.63,27.8,29.25,18.69
642547,373,331,1565,0.208,104,27.88,37,9.92,0.288,0.332,0.62,0.12400000000000003,738,236,31.98,15.08,207,13.23,28.31,30.38,20.64
656288,387,338,1564,0.272,66,17.05,42,10.85,0.352,0.479,0.831,0.20699999999999996,733,184,25.1,11.76,218,13.94,25.7,29.65,15.21
605135,388,334,1554,0.305,76,19.59,44,11.34,0.392,0.485,0.877,0.18,679,133,19.59,8.56,268,17.25,25.8,21.6,15.81
592332,391,357,1521,0.232,79,20.2,31,7.93,0.292,0.381,0.673,0.149,733,163,22.24,10.72,242,15.91,26.63,28.22,17.48
450203,382,312,1520,0.237,104,27.23,49,12.83,0.368,0.385,0.753,0.14800000000000002,697,204,29.27,13.42,248,16.32,29.74,27.46,23.68
502043,388,337,1519,0.267,79,20.36,44,11.34,0.354,0.463,0.817,0.196,624,148,23.72,9.74,248,16.33,26.07,24.3,21.94
641154,381,352,1495,0.267,87,22.83,20,5.25,0.31,0.423,0.733,0.15599999999999997,765,185,24.18,12.37,215,14.38,26.76,31.29,17.54
607200,372,335,1490,0.224,75,20.16,34,9.14,0.294,0.4,0.694,0.17600000000000002,659,132,20.03,8.86,223,14.97,23.83,21.66,16.85
622663,388,350,1490,0.269,76,19.59,30,7.73,0.334,0.44,0.774,0.17099999999999999,766,159,20.76,10.67,207,13.89,24.56,26.92,16.89
650633,379,337,1488,0.223,92,24.27,36,9.5,0.306,0.347,0.653,0.12399999999999997,653,185,28.33,12.43,284,19.09,31.52,30.07,20.86
656605,400,370,1484,0.268,96,24.0,23,5.75,0.32,0.492,0.812,0.22399999999999998,709,147,20.73,9.91,278,18.73,28.64,28.14,23.24
682243,381,347,1482,0.207,85,22.31,32,8.4,0.274,0.389,0.663,0.18200000000000002,731,173,23.67,11.67,214,14.44,26.11,27.41,20.0
676710,394,358,1482,0.207,91,23.1,27,6.85,0.272,0.402,0.674,0.19500000000000003,756,176,23.28,11.88,225,15.18,27.06,29.91,21.31
678394,381,328,1479,0.262,72,18.9,43,11.29,0.356,0.439,0.7949999999999999,0.177,678,176,25.96,11.9,225,15.21,27.11,29.78,17.43
656557,396,353,1457,0.215,72,18.18,30,7.58,0.289,0.3,0.589,0.08499999999999999,666,142,21.32,9.75,276,18.94,28.69,27.5,19.35
669854,350,309,1436,0.191,82,23.43,36,10.29,0.276,0.385,0.661,0.194,676,178,26.33,12.4,220,15.32,27.72,27.32,19.2
669203,374,348,1431,0.216,81,21.66,24,6.42,0.265,0.307,0.5720000000000001,0.091,657,169,25.72,11.81,244,17.05,28.86,30.26,21.37
681293,342,292,1427,0.24,100,29.24,43,12.57,0.341,0.397,0.738,0.15700000000000003,645,187,28.99,13.1,245,17.17,30.27,25.45,23.2
656427,352,330,1415,0.215,100,28.41,19,5.4,0.259,0.345,0.604,0.12999999999999998,626,198,31.63,13.99,274,19.36,33.36,30.95,24.69
641793,362,341,1406,0.261,73,20.17,20,5.52,0.302,0.431,0.733,0.16999999999999998,704,155,22.02,11.02,226,16.07,27.1,29.32,16.71
665871,347,302,1401,0.242,75,21.61,35,10.09,0.325,0.371,0.696,0.129,603,105,17.41,7.49,263,18.77,26.27,24.51,18.61
669923,358,334,1389,0.257,88,24.58,15,4.19,0.291,0.434,0.725,0.177,725,176,24.28,12.67,213,15.33,28.01,27.05,18.68
615698,329,280,1385,0.268,55,16.72,42,12.77,0.366,0.457,0.823,0.189,604,137,22.68,9.89,208,15.02,24.91,23.53,14.32
593423,344,294,1380,0.276,67,19.48,40,11.63,0.37,0.497,0.867,0.22099999999999997,647,144,22.26,10.43,210,15.22,25.65,26.69,15.88
694297,386,354,1376,0.294,76,19.69,24,6.22,0.339,0.472,0.8109999999999999,0.178,663,146,22.02,10.61,237,17.22,27.83,28.44,19.59
669302,359,338,1374,0.213,107,29.81,18,5.01,0.254,0.382,0.636,0.169,689,236,34.25,17.18,201,14.63,31.8,28.42,24.77
592791,352,327,1367,0.254,63,17.9,23,6.53,0.303,0.428,0.731,0.174,620,111,17.9,8.12,251,18.36,26.48,24.3,15.79
663372,365,327,1356,0.269,67,18.36,29,7.95,0.334,0.428,0.762,0.15899999999999997,668,157,23.5,11.58,205,15.12,26.7,25.47,16.8
650644,333,303,1353,0.254,86,25.83,26,7.81,0.321,0.455,0.776,0.201,602,130,21.59,9.61,268,19.81,29.42,26.59,19.82
607067,354,327,1341,0.257,63,17.8,23,6.5,0.308,0.465,0.773,0.20800000000000002,601,98,16.31,7.31,258,19.24,26.55,23.15,16.54
622491,347,316,1340,0.275,67,19.31,27,7.78,0.336,0.509,0.845,0.23399999999999999,673,143,21.25,10.67,199,14.85,25.52,29.2,15.4
608379,352,324,1337,0.247,78,22.16,21,5.97,0.293,0.404,0.6970000000000001,0.15700000000000003,660,157,23.79,11.74,222,16.6,28.35,29.65,19.01
668881,300,253,1314,0.174,94,31.33,30,10.0,0.285,0.292,0.577,0.118,663,195,29.41,14.84,182,13.85,28.69,28.83,20.52
573186,329,291,1307,0.296,47,14.29,31,9.42,0.372,0.474,0.846,0.178,579,94,16.23,7.19,219,16.76,23.95,25.04,12.47
543135,339,316,1287,0.247,78,23.01,21,6.19,0.295,0.424,0.719,0.177,668,170,25.45,13.21,211,16.39,29.6,31.27,18.57
