Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,383,46.99,108,92,22,20.37,11,10.19,197,49,24.87,12.79,55,14.36,27.15,26.6,41.08,22.22,0.272,0.336,0.511,0.847,0.239,434378
CU,Curveball,BR,186,22.82,31,29,6,19.35,1,3.23,62,10,16.13,5.38,54,29.03,34.41,19.57,19.92,12.5,0.276,0.323,0.483,0.806,0.2069999999999999,434378
SL,Slider,BR,130,15.95,38,34,9,23.68,2,5.26,73,14,19.18,10.77,21,16.15,26.92,32.69,21.16,17.65,0.147,0.211,0.324,0.535,0.177,434378
CH,Changeup,OS,116,14.23,26,25,5,19.23,1,3.85,58,14,24.14,12.07,13,11.21,23.28,37.5,17.84,11.63,0.24,0.269,0.4,0.669,0.16,434378
FC,Cutter,FB,303,79.32,80,70,20,25.0,7,8.75,143,31,21.68,10.23,63,20.79,31.02,25.0,70.97,22.73,0.271,0.333,0.414,0.747,0.1429999999999999,445276
SI,Sinker,FB,47,12.3,15,15,9,60.0,0,0.0,29,10,34.48,21.28,1,2.13,23.4,33.33,20.97,34.62,0.133,0.133,0.133,0.266,0.0,445276
SL,Slider,BR,18,4.71,7,6,0,0.0,1,14.29,9,0,0.0,0.0,2,11.11,11.11,0.0,6.45,0.0,0.0,0.143,0.0,0.143,0.0,445276
,,,8,2.09,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,445276
ST,Sweeper,BR,6,1.57,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,445276
FC,Cutter,FB,236,51.98,50,40,6,12.0,9,18.0,90,7,7.78,2.97,62,26.27,29.24,15.32,40.83,12.24,0.3,0.429,0.475,0.904,0.175,445926
CH,Changeup,OS,113,24.89,29,28,1,3.45,1,3.45,51,8,15.69,7.08,10,8.85,15.93,32.05,25.83,3.23,0.25,0.276,0.321,0.597,0.071,445926
SI,Sinker,FB,78,17.18,30,27,10,33.33,3,10.0,31,2,6.45,2.56,22,28.21,30.77,9.09,24.17,34.48,0.222,0.3,0.259,0.5589999999999999,0.037,445926
CU,Curveball,BR,19,4.19,3,3,0,0.0,0,0.0,9,2,22.22,10.53,0,0.0,10.53,33.33,5.83,0.0,0.0,0.0,0.0,0.0,0.0,445926
,,,5,1.1,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.83,0.0,,1.0,,,,445926
SL,Slider,BR,3,0.66,3,3,2,66.67,0,0.0,3,2,66.67,66.67,0,0.0,66.67,100.0,2.5,66.67,0.333,0.333,0.667,1.0,0.334,445926
ST,Sweeper,BR,26,56.52,6,4,2,33.33,1,16.67,11,6,54.55,23.08,1,3.85,26.92,25.0,61.11,18.18,0.0,0.333,0.0,0.333,0.0,448179
SI,Sinker,FB,15,32.61,3,2,2,66.67,1,33.33,5,2,40.0,13.33,4,26.67,40.0,33.33,33.33,33.33,0.0,0.333,0.0,0.333,0.0,448179
FF,4-Seam Fastball,FB,4,8.7,0,0,0,,0,,0,0,,0.0,3,75.0,75.0,0.0,0.0,,,,,,,448179
CU,Curveball,BR,1,2.17,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,100.0,5.56,0.0,,,,,,448179
CU,Curveball,BR,705,46.38,180,144,62,34.44,21,11.67,337,118,35.01,16.74,127,18.01,34.75,36.46,56.32,25.31,0.181,0.33,0.264,0.5940000000000001,0.083,450203
