Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,625,48.11,156,137,25,16.03,12,7.69,312,62,19.87,9.92,112,17.92,27.84,27.67,39.33,16.34,0.234,0.305,0.438,0.743,0.204,434378
SL,Slider,BR,282,21.71,85,81,22,25.88,4,4.71,149,47,31.54,16.67,36,12.77,29.43,34.01,29.31,19.3,0.333,0.365,0.543,0.908,0.21,434378
CU,Curveball,BR,181,13.93,40,39,4,10.0,1,2.5,71,18,25.35,9.94,48,26.52,36.46,26.74,6.94,14.81,0.41,0.425,0.487,0.912,0.077,434378
ST,Sweeper,BR,166,12.78,49,44,14,28.57,4,8.16,74,21,28.38,12.65,24,14.46,27.11,26.04,18.77,19.18,0.068,0.143,0.136,0.279,0.068,434378
CH,Changeup,OS,37,2.85,10,10,4,40.0,0,0.0,23,4,17.39,10.81,3,8.11,18.92,42.11,4.63,22.22,0.2,0.2,0.2,0.4,0.0,434378
SI,Sinker,FB,8,0.62,3,2,0,0.0,0,0.0,5,1,20.0,12.5,0,0.0,12.5,40.0,1.03,0.0,0.5,0.667,1.0,1.667,0.5,434378
FC,Cutter,FB,363,84.22,85,82,24,28.24,3,3.53,216,55,25.46,15.15,53,14.6,29.75,27.48,71.13,23.76,0.159,0.188,0.293,0.481,0.1339999999999999,445276
SL,Slider,BR,30,6.96,15,15,5,33.33,0,0.0,21,6,28.57,20.0,2,6.67,26.67,64.71,12.68,27.78,0.0,0.0,0.0,0.0,0.0,445276
SI,Sinker,FB,22,5.1,7,6,2,28.57,0,0.0,8,0,0.0,0.0,5,22.73,22.73,30.77,8.45,16.67,0.167,0.286,0.167,0.4529999999999999,0.0,445276
ST,Sweeper,BR,15,3.48,3,3,2,66.67,0,0.0,9,3,33.33,20.0,1,6.67,26.67,50.0,7.04,20.0,0.0,0.0,0.0,0.0,0.0,445276
,,,1,0.23,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.7,0.0,,,,,,445276
SI,Sinker,FB,42,40.78,14,14,2,14.29,0,0.0,19,0,0.0,0.0,12,28.57,28.57,11.76,26.47,22.22,0.214,0.214,0.5,0.714,0.286,445926
FC,Cutter,FB,37,35.92,10,9,3,30.0,1,10.0,22,3,13.64,8.11,5,13.51,21.62,30.77,41.18,21.43,0.333,0.4,0.889,1.289,0.556,445926
CH,Changeup,OS,11,10.68,2,2,0,0.0,0,0.0,3,1,33.33,9.09,0,0.0,9.09,0.0,17.65,0.0,0.5,0.5,0.5,1.0,0.0,445926
SL,Slider,BR,7,6.8,0,0,0,,0,,3,1,33.33,14.29,1,14.29,28.57,0.0,8.82,0.0,,,,,,445926
CU,Curveball,BR,6,5.83,0,0,0,,0,,1,1,100.0,16.67,1,16.67,33.33,20.0,5.88,0.0,,,,,,445926
CU,Curveball,BR,53,40.46,10,8,1,10.0,2,20.0,23,5,21.74,9.43,9,16.98,26.42,22.22,52.63,5.0,0.25,0.4,0.625,1.025,0.375,448179
FF,4-Seam Fastball,FB,47,35.88,11,8,0,0.0,3,27.27,16,3,18.75,6.38,11,23.4,29.79,17.39,28.95,0.0,0.625,0.727,1.0,1.727,0.375,448179
FC,Cutter,FB,23,17.56,8,7,0,0.0,1,12.5,11,0,0.0,0.0,4,17.39,17.39,36.36,5.26,0.0,0.143,0.25,0.143,0.393,0.0,448179
SI,Sinker,FB,5,3.82,2,2,1,50.0,0,0.0,1,0,0.0,0.0,2,40.0,40.0,0.0,10.53,25.0,0.0,0.0,0.0,0.0,0.0,448179
ST,Sweeper,BR,2,1.53,0,0,0,,0,,0,0,,0.0,1,50.0,50.0,0.0,0.0,,,,,,,448179
CH,Changeup,OS,1,0.76,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,448179
