Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,120,19.48,35,29,9,25.71,5,14.29,48,9,18.75,7.5,32,26.67,34.17,24.0,17.07,32.14,0.172,0.314,0.31,0.624,0.138
CU,Curveball,BR,105,17.05,34,30,10,29.41,3,8.82,46,15,32.61,14.29,15,14.29,28.57,26.67,25.0,24.39,0.2,0.294,0.433,0.727,0.23299999999999998
FF,4-Seam Fastball,FB,89,14.45,18,18,3,16.67,0,0.0,43,10,23.26,11.24,13,14.61,25.84,18.6,10.98,16.67,0.333,0.333,0.667,1.0,0.334
FS,Split-Finger,OS,89,14.45,19,18,3,15.79,0,0.0,41,9,21.95,10.11,1,1.12,11.24,25.4,21.95,8.33,0.278,0.316,0.278,0.5940000000000001,0.0
SL,Slider,BR,79,12.82,24,20,1,4.17,4,16.67,40,6,15.0,7.59,17,21.52,29.11,17.24,9.76,6.25,0.25,0.375,0.4,0.775,0.15000000000000002
FC,Cutter,FB,72,11.69,11,10,0,0.0,1,9.09,39,7,17.95,9.72,11,15.28,25.0,19.23,3.66,0.0,0.5,0.545,1.3,1.8450000000000002,0.8
ST,Sweeper,BR,42,6.82,10,8,1,10.0,1,10.0,13,1,7.69,2.38,10,23.81,26.19,4.76,4.88,12.5,0.5,0.556,1.5,2.056,1.0
KC,Knuckle Curve,BR,13,2.11,3,2,0,0.0,1,33.33,4,0,0.0,0.0,0,0.0,0.0,0.0,4.27,0.0,0.0,0.333,0.0,0.333,0.0
CH,Changeup,OS,5,0.81,1,1,1,100.0,0,0.0,1,0,0.0,0.0,1,20.0,20.0,25.0,2.44,25.0,0.0,0.0,0.0,0.0,0.0
UN,Unknown,,1,0.16,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
,,,1,0.16,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
