Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,112,20.59,32,26,3,9.38,2,6.25,56,7,12.5,6.25,18,16.07,22.32,28.0,11.67,14.29,0.192,0.3,0.346,0.6459999999999999,0.15399999999999997
FF,4-Seam Fastball,FB,101,18.57,22,21,9,40.91,0,0.0,42,7,16.67,6.93,28,27.72,34.65,19.44,18.89,26.47,0.238,0.273,0.333,0.6060000000000001,0.09500000000000003
SL,Slider,BR,81,14.89,21,19,1,4.76,2,9.52,45,9,20.0,11.11,17,20.99,32.1,21.74,13.33,4.17,0.526,0.571,0.632,1.2029999999999998,0.10599999999999998
ST,Sweeper,BR,75,13.79,23,23,9,39.13,0,0.0,41,18,43.9,24.0,9,12.0,36.0,40.0,18.33,27.27,0.261,0.261,0.652,0.913,0.391
CU,Curveball,BR,72,13.24,20,20,8,40.0,0,0.0,34,13,38.24,18.06,15,20.83,38.89,35.29,18.89,23.53,0.05,0.05,0.05,0.1,0.0
FC,Cutter,FB,64,11.76,9,9,3,33.33,0,0.0,24,4,16.67,6.25,21,32.81,39.06,21.74,3.89,42.86,0.111,0.111,0.444,0.555,0.333
FS,Split-Finger,OS,32,5.88,14,13,6,42.86,0,0.0,23,9,39.13,28.12,0,0.0,28.12,59.09,12.22,27.27,0.154,0.154,0.385,0.539,0.231
CH,Changeup,OS,3,0.55,1,1,1,100.0,0,0.0,2,1,50.0,33.33,0,0.0,33.33,0.0,1.67,33.33,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,2,0.37,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,,1.11,0.0,0.0,0.0,0.0,0.0,0.0
PO,Pitch Out,,1,0.18,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
,,,1,0.18,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
