pitch_type,pitch_name,pitches,called_strikes,swings,whiffs,pitches_ooz,chases,putaway_pitches,putaways,at_bats,hits,cstr_pct,csw_pct,whiff_pct,swstr_pct,chase_pct,putaway_pct,batting_avg,pitch_group,usage,putaway_usg
FF,4-Seam Fastball,705,126,300,55,705,300,201,26,128,37,17.87,25.67,18.33,7.8,42.55,12.94,0.289,FB,31.39,33.06
SI,Sinker,344,82,140,13,344,140,78,15,82,30,23.84,27.62,9.29,3.78,40.7,19.23,0.366,FB,15.32,12.83
CH,Changeup,279,30,132,24,279,132,83,13,69,21,10.75,19.35,18.18,8.6,47.31,15.66,0.304,OS,12.42,13.65
SL,Slider,245,29,117,30,245,117,77,12,58,19,11.84,24.08,25.64,12.24,47.76,15.58,0.328,BR,10.91,12.66
FC,Cutter,229,40,88,16,229,88,42,9,48,15,17.47,24.45,18.18,6.99,38.43,21.43,0.312,FB,10.2,6.91
ST,Sweeper,160,23,65,17,160,65,33,10,29,5,14.37,25.0,26.15,10.62,40.62,30.3,0.172,BR,7.12,5.43
CU,Curveball,148,28,64,19,148,64,50,10,38,13,18.92,31.76,29.69,12.84,43.24,20.0,0.342,BR,6.59,8.22
FS,Split-Finger,92,9,43,10,92,43,30,4,25,10,9.78,20.65,23.26,10.87,46.74,13.33,0.4,OS,4.1,4.93
KC,Knuckle Curve,34,9,12,3,34,12,10,1,5,3,26.47,35.29,25.0,8.82,35.29,10.0,0.6,BR,1.51,1.64
SV,Slurve,8,0,5,2,8,5,3,0,2,1,0.0,25.0,40.0,25.0,62.5,0.0,0.5,BR,0.36,0.49
CS,Slow Curve,1,0,1,1,1,1,1,1,1,0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,BR,0.04,0.16
UN,Unknown,1,0,0,0,1,0,0,0,0,0,0.0,0.0,,0.0,0.0,,,,0.04,0.0
