pitch_type,pitch_name,game_date,release_speed,player_name,batter,pitcher,events,description,zone,stand,p_throws,balls,strikes,game_year,umpire,game_pk,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,arm_angle
FS,Split-Finger,2026-08-26,82.1,"Ohtani, Shohei",660271,700363,single,hit_into_play,7.0,L,R,1,1,2026,,824878,3,2,,
FS,Split-Finger,2026-08-26,80.9,"Ohtani, Shohei",660271,700363,,foul,13.0,L,R,1,0,2026,,824878,3,2,,
FF,4-Seam Fastball,2026-08-26,94.1,"Ohtani, Shohei",660271,700363,,ball,13.0,L,R,0,0,2026,,824878,3,2,,
FF,4-Seam Fastball,2026-08-26,96.5,"Ohtani, Shohei",660271,700363,field_out,hit_into_play,6.0,L,R,2,0,2026,,824878,2,1,,
FF,4-Seam Fastball,2026-08-26,96.2,"Ohtani, Shohei",660271,700363,,ball,11.0,L,R,1,0,2026,,824878,2,1,,
FS,Split-Finger,2026-08-26,82.8,"Ohtani, Shohei",660271,700363,,ball,14.0,L,R,0,0,2026,,824878,2,1,,
FF,4-Seam Fastball,2026-08-26,97.3,"Ohtani, Shohei",660271,800311,field_out,hit_into_play,11.0,L,R,2,2,2026,,824878,1,4,,
SL,Slider,2026-08-26,85.3,"Ohtani, Shohei",660271,800311,,ball,14.0,L,R,1,2,2026,,824878,1,4,,
FF,4-Seam Fastball,2026-08-26,98.8,"Ohtani, Shohei",660271,800311,,foul,11.0,L,R,1,2,2026,,824878,1,4,,
FF,4-Seam Fastball,2026-08-26,98.1,"Ohtani, Shohei",660271,800311,,foul,5.0,L,R,1,1,2026,,824878,1,4,,
FF,4-Seam Fastball,2026-08-26,97.1,"Ohtani, Shohei",660271,800311,,swinging_strike,5.0,L,R,1,0,2026,,824878,1,4,,
FS,Split-Finger,2026-08-26,88.1,"Ohtani, Shohei",660271,800311,,ball,14.0,L,R,0,0,2026,,824878,1,4,,
FF,4-Seam Fastball,2026-08-26,98.4,"Ohtani, Shohei",660271,700363,strikeout,swinging_strike,11.0,L,R,1,2,2026,,824878,1,0,,
FF,4-Seam Fastball,2026-08-26,97.4,"Ohtani, Shohei",660271,700363,,foul,5.0,L,R,1,1,2026,,824878,1,0,,
FS,Split-Finger,2026-08-26,85.4,"Ohtani, Shohei",660271,700363,,ball,11.0,L,R,0,1,2026,,824878,1,0,,
SL,Slider,2026-08-26,81.9,"Ohtani, Shohei",660271,669276,double,hit_into_play,5.0,L,L,0,0,2026,,824878,1,3,,
FF,4-Seam Fastball,2026-08-26,97.6,"Ohtani, Shohei",660271,700363,,called_strike,11.0,L,R,0,0,2026,,824878,1,0,,
SI,Sinker,2026-08-25,92.0,"Ohtani, Shohei",660271,693821,field_out,hit_into_play,3.0,L,R,0,2,2026,,824881,3,2,9.0,46.0
FF,4-Seam Fastball,2026-08-25,92.8,"Ohtani, Shohei",660271,693821,,foul,1.0,L,R,0,1,2026,,824881,3,2,9.0,43.9
CH,Changeup,2026-08-25,87.0,"Ohtani, Shohei",660271,693821,,swinging_strike,13.0,L,R,0,0,2026,,824881,3,2,9.0,47.7
FF,4-Seam Fastball,2026-08-25,94.5,"Ohtani, Shohei",660271,693821,strikeout,called_strike,9.0,L,R,3,2,2026,,824881,2,1,9.0,47.2
FF,4-Seam Fastball,2026-08-25,93.7,"Ohtani, Shohei",660271,693821,,swinging_strike,2.0,L,R,3,1,2026,,824881,2,1,9.0,46.1
CH,Changeup,2026-08-25,86.5,"Ohtani, Shohei",660271,693821,,ball,13.0,L,R,2,1,2026,,824881,2,1,9.0,47.4
FC,Cutter,2026-08-25,89.6,"Ohtani, Shohei",660271,693821,,ball,11.0,L,R,1,1,2026,,824881,2,1,9.0,47.4
FF,4-Seam Fastball,2026-08-25,93.1,"Ohtani, Shohei",660271,693821,,ball,12.0,L,R,0,1,2026,,824881,2,1,9.0,45.5
FF,4-Seam Fastball,2026-08-25,93.4,"Ohtani, Shohei",660271,693821,,called_strike,5.0,L,R,0,0,2026,,824881,2,1,9.0,46.3
SL,Slider,2026-08-25,83.6,"Ohtani, Shohei",660271,669276,field_out,hit_into_play,13.0,L,L,2,2,2026,,824881,1,3,2.0,46.1
CH,Changeup,2026-08-25,87.3,"Ohtani, Shohei",660271,693821,field_out,hit_into_play,11.0,L,R,2,2,2026,,824881,1,0,9.0,48.1
SL,Slider,2026-08-25,82.5,"Ohtani, Shohei",660271,693821,,foul,8.0,L,R,2,1,2026,,824881,1,0,9.0,51.3
FF,4-Seam Fastball,2026-08-25,91.1,"Ohtani, Shohei",660271,669276,,called_strike,9.0,L,L,2,1,2026,,824881,1,3,2.0,46.8
FF,4-Seam Fastball,2026-08-25,91.2,"Ohtani, Shohei",660271,669276,,ball,13.0,L,L,1,1,2026,,824881,1,3,2.0,45.1
SL,Slider,2026-08-25,81.4,"Ohtani, Shohei",660271,693821,,foul,9.0,L,R,2,0,2026,,824881,1,0,9.0,49.7
SI,Sinker,2026-08-25,94.8,"Ohtani, Shohei",660271,628452,triple,hit_into_play,11.0,L,R,1,0,2026,,824881,1,4,2.0,31.2
SL,Slider,2026-08-25,79.6,"Ohtani, Shohei",660271,669276,,called_strike,8.0,L,L,1,0,2026,,824881,1,3,2.0,49.8
SI,Sinker,2026-08-25,89.5,"Ohtani, Shohei",660271,693821,,ball,11.0,L,R,1,0,2026,,824881,1,0,9.0,48.2
SI,Sinker,2026-08-25,93.9,"Ohtani, Shohei",660271,628452,,ball,11.0,L,R,0,0,2026,,824881,1,4,2.0,28.3
FF,4-Seam Fastball,2026-08-25,92.4,"Ohtani, Shohei",660271,693821,,ball,11.0,L,R,0,0,2026,,824881,1,0,9.0,47.9
SL,Slider,2026-08-25,81.3,"Ohtani, Shohei",660271,669276,,ball,13.0,L,L,0,0,2026,,824881,1,3,2.0,44.9
FF,4-Seam Fastball,2026-08-23,97.1,"Ohtani, Shohei",660271,669387,force_out,hit_into_play,5.0,L,R,2,2,2026,,823909,2,2,6.0,31.9
FS,Split-Finger,2026-08-23,88.8,"Ohtani, Shohei",660271,669387,,blocked_ball,13.0,L,R,1,2,2026,,823909,2,2,6.0,30.2
ST,Sweeper,2026-08-23,84.4,"Ohtani, Shohei",660271,669387,,foul,8.0,L,R,1,1,2026,,823909,2,2,6.0,30.0
ST,Sweeper,2026-08-23,84.6,"Ohtani, Shohei",660271,669387,,called_strike,4.0,L,R,1,0,2026,,823909,2,2,6.0,31.0
FF,4-Seam Fastball,2026-08-23,96.5,"Ohtani, Shohei",660271,669387,,ball,13.0,L,R,0,0,2026,,823909,2,2,6.0,29.4
